id,wav,gt,npu,duration,chunks,infer_ms,cer,gt_len,npu_len,blank_ratio,edit_dist
59,009_results_9.97_top30_avg_61.27/S001061_000104.wav,한오십만될까,한 오십만 될까,2.09,1,233.3,0.0,6,6,92.1,0
62,010_results_10.76_top30_avg_88.25/S000009_000148.wav,오,오,1.78,1,233.3,0.0,1,1,97.4,0
63,010_results_10.76_top30_avg_88.25/S000009_000181.wav,보입니다,보입니다,1.39,1,234.0,0.0,4,4,97.4,0
120,7F_HJY_results_9.27_top30_avg_26.95/HJY_2025-11-19_09-09-45_12345555_101_101_wallpad_426909813_만화를_틀려도_돼.wav,안알려줘도돼,안 알려줘도 돼,2.56,1,233.7,0.0,6,6,90.8,0
145,7F_HJY_results_9.27_top30_avg_26.95/HJY_2025-11-19_09-24-28_12345555_101_101_wallpad_427793813_좀만_더_낮춰줘.wav,좀만더낮춰줘,좀만 더 낮춰 줘,2.81,1,234.0,0.0,6,6,89.5,0
152,7F_KSK_results_2.66_top30_avg_9.59/KSK_12345555_101_101_wallpad_346950813_2025-11-18_10:57:06_알람_십분_뒤에_가시_켜줘.wav,알람십분뒤에다시켜줘,알람 십 분 뒤에 다시 켜 줘,2.94,1,233.7,0.0,10,10,78.9,0
154,7F_KSK_results_2.66_top30_avg_9.59/KSK_12345555_101_101_wallpad_346698813_2025-11-18_10:52:53_이번_달에_관리비_얼마나_썼니.wav,이번달에관리비얼마나썼니?,이번 달에 관리비 얼마나 썼니,2.73,1,233.2,0.0,12,12,78.9,0
163,7F_KSK_results_2.66_top30_avg_9.59/KSK_12345555_101_101_wallpad_346525813_2025-11-18_10:50:01_가스밸브_현제_열려_있어.wav,가스밸브현재열려있어?,가스 밸브 현재 열려 있어,2.77,1,233.1,0.0,10,10,80.3,0
168,7F_KSK_results_2.66_top30_avg_9.59/KSK_12345555_101_101_wallpad_346705813_2025-11-18_10:53:01_작년_십일월월_관리비_얼마_나왔어.wav,작년십이월관리비얼마나왔어?,작년 십 이 월 관리비 얼마 나왔어,2.61,1,233.6,0.0,13,13,77.6,0
170,7F_KSK_results_2.66_top30_avg_9.59/KSK_12345555_101_101_wallpad_346438813_2025-11-18_10:48:34_대전_벽화마을를_가는데_얼마나_걸리지.wav,대전벽화마을가는데얼마나걸리지?,대전 벽화마을 가는데 얼마나 걸리지,2.37,1,233.1,0.0,15,15,76.3,0
171,7F_KSK_results_2.66_top30_avg_9.59/KSK_12345555_101_101_wallpad_346731813_2025-11-18_10:53:26_이천십구년_십일월_정기세는_얼마였어.wav,이천십구년십일월전기세는얼마였어?,이천십 구 년 십 일 월 전기세는 얼마였어,2.76,1,233.7,0.0,16,16,73.7,0
173,7F_KSK_results_2.66_top30_avg_9.59/KSK_12345555_101_101_wallpad_346713813_2025-11-18_10:53:09_지난달_수도세_얼마였지.wav,지난달수도세얼마였지?,지난달 수도세 얼마였지,2.94,1,232.9,0.0,10,10,85.5,0
175,7F_KSK_results_2.66_top30_avg_9.59/KSK_12345555_101_101_wallpad_346690813_2025-11-18_10:52:46_도와주세요.wav,도와주세요,도와주세요,2.35,1,233.3,0.0,5,5,90.8,0
182,eval_clean_p_results_10.07_top30_avg_91.39/eval_clean_wav_KsponSpeech_E00930.wav,그럼너,그럼 너,0.32,1,232.9,0.0,3,3,93.4,0
198,eval_clean_p_results_10.07_top30_avg_91.39/eval_clean_wav_KsponSpeech_E01372.wav,낙서를했다고,낙서를 했다고,1.31,1,232.9,0.0,6,6,90.8,0
202,eval_clean_p_results_10.07_top30_avg_91.39/eval_clean_wav_KsponSpeech_E01359.wav,덕준이,덕준이,0.79,1,233.5,0.0,3,3,93.4,0
204,eval_clean_p_results_10.07_top30_avg_91.39/eval_clean_wav_KsponSpeech_E02176.wav,그래가지고,그래가지고,0.67,1,233.0,0.0,5,5,94.7,0
223,eval_other_p_results_9.54_top30_avg_69.09/eval_other_wav_KsponSpeech_E04811.wav,더워요,더워요,1.26,1,233.2,0.0,3,3,96.1,0
229,eval_other_p_results_9.54_top30_avg_69.09/eval_other_wav_KsponSpeech_E03556.wav,오피스텔왜,오피스텔 왜,1.08,1,232.8,0.0,5,5,93.4,0
242,modelhouse_2m_noheater_results_3.59_top30_avg_6.10/sk_2025-12-02_14-55-27_12345567_101_105_wallpad_1570851813_문_닫아줘.mp3,응닫아줘,응 닫아 줘,2.36,1,233.8,0.0,4,4,89.5,0
243,modelhouse_2m_noheater_results_3.59_top30_avg_6.10/jy_2025-12-02_15-03-48_12345567_101_105_wallpad_1571352813_세대_소독_알려줘.mp3,세대소독알려줘,세대 소독 알려 줘,2.91,1,233.2,0.0,7,7,89.5,0
246,modelhouse_2m_noheater_results_3.59_top30_avg_6.10/nk_2025-12-02_14-59-40_12345567_101_105_wallpad_1571104813_이번_달에_걸리비_얼마나_썼니.mp3,이번달에관리비얼마나썼니?,이번 달에 관리비 얼마나 썼니,3.64,2,466.3,0.0,12,12,87.1,0
249,modelhouse_2m_noheater_results_3.59_top30_avg_6.10/sk_2025-12-02_14-54-22_12345567_101_105_wallpad_1570786813_칠월_오일_공지_알려줘.mp3,칠월오일공지알려줘,칠 월 오 일 공지 알려 줘,3.33,2,465.9,0.0,9,9,89.2,0
250,modelhouse_2m_noheater_results_3.59_top30_avg_6.10/nk_2025-12-02_14-59-57_12345567_101_105_wallpad_1571121813_화면이_너무_밝아.mp3,화면이너무밝아,화면이 너무 밝아,2.94,1,233.0,0.0,7,7,88.2,0
252,modelhouse_2m_noheater_results_3.59_top30_avg_6.10/nk_2025-12-02_15-00-05_12345567_101_105_wallpad_1571129813_알림음_꺼줘.mp3,알림음꺼줘,알림음 꺼 줘,2.88,1,233.9,0.0,5,5,88.2,0
254,modelhouse_2m_noheater_results_3.59_top30_avg_6.10/sk_2025-12-02_14-54-00_12345567_101_105_wallpad_1570764813_지난_공지사항_알려줘.mp3,지난공지사항알려줘,지난 공지사항 알려 줘,3.26,2,466.2,0.0,9,9,92.1,0
255,modelhouse_2m_noheater_results_3.59_top30_avg_6.10/sk_2025-12-02_14-54-58_12345567_101_105_wallpad_1570822813_집에서_회사까지_몇_분_걸려.mp3,집에서회사까지몇분걸려?,집에서 회사까지 몇 분 걸려,3.65,2,467.1,0.0,11,11,90.6,0
256,modelhouse_2m_noheater_results_3.59_top30_avg_6.10/sk_2025-12-02_14-54-45_12345567_101_105_wallpad_1570809813_오늘_경제_뉴스_알려줘.mp3,오늘경제뉴스알려줘,오늘 경제 뉴스 알려줘,3.0,1,233.1,0.0,9,9,88.2,0
257,modelhouse_2m_noheater_results_3.59_top30_avg_6.10/sk_2025-12-02_14-54-31_12345567_101_105_wallpad_1570795813_세대_소독_알려줘.mp3,세대소독알려줘,세대소독 알려 줘,2.62,1,233.2,0.0,7,7,89.5,0
258,modelhouse_2m_noheater_results_3.59_top30_avg_6.10/nk_2025-12-02_14-59-21_12345567_101_105_wallpad_1571085813_문_열어줘.mp3,문열어줘,문 열어 줘,2.62,1,233.5,0.0,4,4,86.8,0
262,modelhouse_2m_noheater_results_3.59_top30_avg_6.10/sk_2025-12-02_14-55-52_12345567_101_105_wallpad_1570876813_살려줘_도와줘_비상.mp3,살려줘도와줘비상,살려줘 도와줘 비상,3.52,2,466.1,0.0,8,8,92.8,0
263,modelhouse_2m_noheater_results_3.59_top30_avg_6.10/sk_2025-12-02_14-55-44_12345567_101_105_wallpad_1570868813_문_열어줘.mp3,문열어줘,문 열어 줘,2.55,1,232.9,0.0,4,4,88.2,0
267,modelhouse_2m_noheater_results_3.59_top30_avg_6.10/nk_2025-12-02_14-58-57_12345567_101_105_wallpad_1571061813_가스_밸브_현재_열려_있어.mp3,가스밸브현재열려있어?,가스 밸브 현재 열려 있어,3.52,2,466.3,0.0,10,10,88.5,0
274,modelhouse_2m_results_8.51_top30_avg_14.48/sk_2025-12-02_14-40-05_12345567_101_105_wallpad_1803437320_편하이_너무_밝아.mp3,화면이너무밝아,화면이 너무 밝아,2.78,1,233.2,0.0,7,7,86.8,0
278,modelhouse_2m_results_8.51_top30_avg_14.48/sk_2025-12-02_14-39-03_12345567_101_105_wallpad_1803375320_응_닫아줘.mp3,응닫아줘,응 닫아 줘,2.4,1,233.1,0.0,4,4,86.8,0
282,modelhouse_2m_results_8.51_top30_avg_14.48/jy_2025-12-02_14-49-28_12345567_101_105_wallpad_1570492813_최대_소독_알려줘.mp3,세대소독알려줘,세대소독 알려줘,3.0,1,233.4,0.0,7,7,90.8,0
298,modelhouse_2m_results_8.51_top30_avg_14.48/nk_2025-12-02_14-46-36_12345567_101_105_wallpad_1570320813_문_열어줘.mp3,문열어줘,문 열어 줘,2.68,1,232.9,0.0,4,4,88.2,0
299,modelhouse_2m_results_8.51_top30_avg_14.48/nk_2025-12-02_14-44-34_12345567_101_105_wallpad_1570198813_관리자무소_전화번호가_어떻게_되지.mp3,관리사무소전화번호가어떻게되지?,관리사무소 전화번호가 어떻게 되지,3.77,2,466.6,0.0,15,15,90.6,0
300,modelhouse_3m_results_15.72_top30_avg_26.55/3m_2025-12-02_13-39-06_12345567_101_105_wallpad_1799778320_누문지_열어줘.mp3,문열어줘,문 열어 줘,2.27,1,233.9,0.0,4,4,89.5,0
318,modelhouse_3m_results_15.72_top30_avg_26.55/3m_2025-12-02_14-11-11_12345567_101_105_wallpad_1801703320_알내문_켜줘.mp3,알림음켜줘,알림음 켜 줘,2.88,1,233.4,0.0,5,5,88.2,0
323,modelhouse_3m_results_15.72_top30_avg_26.55/3m_2025-12-02_13-31-47_12345567_101_105_wallpad_1799339320_오늘_덤파뉴스_알려줘.mp3,오늘경제뉴스알려줘,오늘 경제 뉴스 알려줘,3.0,1,234.0,0.0,9,9,86.8,0
146,7F_HJY_results_9.27_top30_avg_26.95/HJY_2025-11-19_09-18-10_12345555_101_101_wallpad_427414813_근처_우리_동네_주유_휘발유_평균_가격이_어때.wav,근처우리동네주유소휘발유평균가격이어때?,근처 우리 동네 주유소 휘발유 평 균 가격이 어때 음,4.5,2,466.7,5.26,19,20,81.3,1
259,modelhouse_2m_noheater_results_3.59_top30_avg_6.10/sk_2025-12-02_14-55-08_12345567_101_105_wallpad_1570832813_근처_우리_동네_주유소_휘발_평균_가격이_어때.mp3,근처우리동네주유소휘발유평균가격이어때?,근처 우리 동네 주유소 휘발유 평균 가격이 어때 어,4.8,2,466.5,5.26,19,20,81.3,1
329,modelhouse_3m_results_15.72_top30_avg_26.55/3m_2025-12-02_13-35-33_12345567_101_105_wallpad_1799565320_근처_우리_동네_주유소_티바유_파트_가격이_어때.mp3,근처우리동네주유소휘발유평균가격이어때?,근처 우리 동네 주유소 휘발유 평균 가격이 어때 음,4.44,2,466.3,5.26,19,20,83.5,1
105,012_results_4.86_top30_avg_37.73/S00001494_0060.wav,삼에서칠일보다더걸리는건아니죠,삼회에서 칠 일보다 더 걸리는 건 아니죠,2.37,1,233.3,6.67,15,16,80.3,1
