id,wav,gt,npu,duration,chunks,infer_ms,cer,gt_len,npu_len,blank_ratio,edit_dist
91,ko_test_0091.wav,이세우 전체적으로 두 분이 병원에 지금 입원하셨었는데요,이세요 전체적으로ㅏ언에 지금 이버 하쳐ㅓㅆ는데요,5.78,3,1250.8,45.83,24,22,86.1,11
88,ko_test_0088.wav,이를 위해 소프트뱅크로부터 십 억달러 투자를 유치하기도 했다,이를 위해 소프트저 시박단 너투자를 유치하기,6.57,3,1250.4,46.15,26,19,86.4,12
19,ko_test_0019.wav,지금은 대통령한테 줄을 대서 당선을 해보겠다 이런 이미지를 주는 경향이 없지 않다고 생각합니다,기극을 대동를 대서 강선흘 해보겠이런 이미재를 수는 경햐아다고 댕각합니다,10.54,5,2083.0,50.0,40,32,84.3,20
95,ko_test_0095.wav,그런데 이 노래는 좀 더 감동이 짙게 묻어나면서 그 여자를 위한 헌정의 느낌을 살려야 될 것 같았다,그런데 이 노래는 지 집게부서 나면서 그 여자리 도면 사ㅣ야 될 것 갇바,8.39,4,1666.5,56.41,39,28,82.0,22
80,ko_test_0080.wav,유열씨는 일본 국적자로 분류되면서 군대를 가지 않았다,요열씨는 일버글료뇌면서 근댈ㄹ 가지 않았,6.08,3,1251.1,56.52,23,18,86.1,13
82,ko_test_0082.wav,그리고 수사를 관련자를 마흔 여섯 명이나 불러서 조사를 했어요,그리고스사므를 ㄱ난 여승녕이나 불라서 조ㅏ,6.56,3,1249.5,57.69,26,19,87.2,15
93,ko_test_0093.wav,그러나 이번 작전 성공으로 그동안 실추된 명예를 어느 정도나마 회복한 셈이다,그러나 이건 닥정성하식 추댄 명지를 어늘 정도나갑니다,7.09,3,1250.9,59.38,32,23,81.1,19
78,ko_test_0078.wav,게다가 무료급식을 지원받는다는 사실을 반 친구들에게 들키고 싶지 않은 마음도 컸습니다,게다가 무려그ㅜㄴ받는다는 사 시랄 밤ㅈ기끼고 시지 않은 마앙덕브,8.97,4,1666.2,62.16,37,28,85.6,23
35,ko_test_0035.wav,분명히 배당률이 크게 변할 때는 무슨 일이 일어나고 있다는 얘기였다고 밝혔다,분명이 배장요리 ㄷ는 무슨 이리 일어나고 있이어떠구 가겠다,7.76,3,1251.0,62.5,32,25,80.9,20
11,ko_test_0011.wav,하지만 싫증 나면 버리면 그만이라는 식의 사고방식은 단지 물건에만 영향을 미치는 데서 그치지 않습니다,하지말 슬쟁나므면 두만이라는 주게 사반지 물거내만 영애산 걱게 아습니다,10.37,4,1666.4,62.79,43,31,82.0,27
38,ko_test_0038.wav,정권교체의 희망도 드리지 못했습니다라며 호남이 지지를 거둔다면 정계에서 은퇴하겠다고 밝혔다,낭봔 그체도 느기지 못세틉니다ㅏㅏ이 지지를 거전다면 ㅣ어 이때하겠닥,11.56,5,2084.0,63.41,41,30,87.0,26
98,ko_test_0098.wav,국내 경기가 여전히 침체된 상태에서 금리마저 올라가면 경기 회복 국면에 찬물을 끼얹을 수도 있다는 진단이다,분내 경기가 여전이내해서 근니 나자 올라가면 그난엔 천물할 끼안길 수도 있,9.42,4,1667.3,64.44,45,31,81.4,29
24,ko_test_0024.wav,이미 알려진 대로 미군은 한반도에 세 개 사드 포대 기지 배치가 필요하다는 입장이다,이비 알려긴 재로 ㅏ함만 도에 새게 사드니 대치가 시로하잔에,9.18,4,1667.5,64.71,34,25,86.6,22
59,ko_test_0059.wav,강아지가 용변을 보도록 유도하는 말을 가르칠 수도 있다,하마지가 용바날 ㅗㅏㄴ 마를 가르치수도 있,6.04,3,1250.1,65.22,23,18,88.4,15
30,ko_test_0030.wav,하지만 때때로 해로운 병균 때문에 몸에 이상을 느끼기도 합니다,마시만 때땡저죠때문의 모믜 이ㅏ내내도합니다,7.58,3,1249.9,65.38,26,20,85.1,17
62,ko_test_0062.wav,중동호흡기증후군 삼 차 감염 환자가 사 일 새벽 두 명 더 추가되면서 다섯 명으로 늘었다,중돈 홉게 주가명 혼자가 사이사추가 되면서 다산명어론 늘,9.55,4,1667.1,65.71,35,24,86.2,23
55,ko_test_0055.wav,언제 이 뚜껑이 들끓어서 열릴까하는 게 시간문제였거든요,언제이또겅이 ㅏ 열립다 는 게 시식,6.84,3,1250.5,66.67,24,14,90.2,16
27,ko_test_0027.wav,하느님께서는 누구에게 우리가 우리의 형상대로 우리의 모양을 따라 사람을 만들자라는 말씀을 하셨나요,하나니께서는  무리가 무리 디ㅐㅗ 고리끼 모랴으라라메 만들 ㅅ자난늘때딴 나요,12.49,5,2083.2,67.44,43,33,86.7,29
25,ko_test_0025.wav,랜덤 채팅앱이란 불특정 이용자와의 만남을 주선해주는 스마트폰 프로그램을 말한다,랜담 패핑ㅇ즙저 위용다와의 만남그내즈마논 그래믈 말한다,10.09,4,1666.5,68.57,35,25,86.0,24
42,ko_test_0042.wav,미국에서는 흑인이나 히스패닉이 고위직에 진출할 생각도 하지 않는다,미국에사나 흑이때니기 고이직에 지나ㅗㅣ,7.3,3,1250.1,68.97,29,18,89.2,20
22,ko_test_0022.wav,아울러 미약하게나마 제가 할 수 있는 일을 찾아 실천하겠습니다,아울러 위약ㅎ개가 할술 있는 이를 사잩나,6.95,3,1251.6,69.23,26,17,86.9,18
31,ko_test_0031.wav,떴다방 분양권 불법전매 다운계약서 등에 대한 단속을 피해서다,삭다가 구냑ㄱ ㅓ메 다운 개악서등ㅇ눅얼 피해보다,7.61,3,1249.5,69.23,26,21,86.1,18
83,ko_test_0083.wav,연구진은 남편의 경우 아내와 사이가 틀어진 후에도 충분한 수면시간이 확보된 경우라면 아내와의 결혼생활에 대해 낙관적인 자세를 유지하는 것으로 나타났다고 설명했다,녕구지는 남펴내ㅏ내와사이가 틀어진 고에도 총느ㅏ니 포댁 거으라면 아ㅏ생할에 때 다한 적인 자나ㅏㅏㅏㅏ,13.45,6,2500.8,70.0,70,45,83.7,49
87,ko_test_0087.wav,시간이 흐를수록 피고인 박씨에게 불리한 재판부의 판결이 이어지자 법정 안에 방청객으로 앉아 있던 피고인 박씨의 가족들 사이에서 불만의 소리가 터져 나왔다,시간이허를 수록 피ㅐ개 불리한 지판베 상그비이앚정안의 강총개보로 안자 더녜 마달사이ㅔ서 울만,11.99,5,2082.2,70.77,65,41,81.7,46
81,ko_test_0081.wav,한 중견법조인은 성추행을 한 대학교수를 구속하면 그게 반 대학정서를 확산시키는 것이냐 고 반문하면서 사안을 있는 그대로 보면 된다,한 중경 법조ㅐ느란 아악겨수를 구족하며난내야ㅏㄱ종사를 학산 치키는 가 나면서 산을 있녕긱,11.8,5,2084.0,70.91,55,39,82.0,39
