id,wav,ref,npu_hyp,cer,wer,exact,contains_ref,insertion,deletion,substitution,edit_dist,ref_len,hyp_len,rtf,infer_ms,duration,chunks,blank_ratio
7,2025-11-19_09-09-07_12345555_101_101_wallpad_426871813_알려줘.wav,알려줘,알려 줘,0.0,0.0,1,1,0,0,0,0,3,3,0.1018,234.1,2.3,1,90.8
8,2025-11-19_09-09-14_12345555_101_101_wallpad_426878813_됐어.wav,됐어,됐어,0.0,0.0,1,1,0,0,0,0,2,2,0.0976,234.3,2.4,1,90.8
10,2025-11-19_09-09-30_12345555_101_101_wallpad_426895813_응_말해줘.wav,응 말해줘,응 말해줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0831,233.5,2.81,1,92.1
11,2025-11-19_09-09-38_12345555_101_101_wallpad_426902813_아니_괜찮아.wav,아니 괜찮아,아니 괜찮아,0.0,0.0,1,1,0,0,0,0,5,5,0.0912,233.5,2.56,1,89.5
12,2025-11-19_09-09-45_12345555_101_101_wallpad_426909813_만화를_틀려도_돼.wav,안 알려줘도 돼,안 알려줘도 돼,0.0,0.0,1,1,0,0,0,0,6,6,0.0912,233.4,2.56,1,86.8
13,2025-11-19_09-09-52_12345555_101_101_wallpad_426917813_괜찮아.wav,괜찮아,괜찮아,0.0,0.0,1,1,0,0,0,0,3,3,0.1017,234.0,2.3,1,92.1
28,2025-11-19_09-12-58_12345555_101_101_wallpad_427102813_달러_환율_알려줘.wav,달러 환율 알려줘,달러 환율 알려 줘,0.0,0.0,1,1,0,0,0,0,7,7,0.081,233.2,2.88,1,85.5
29,2025-11-19_09-13-05_12345555_101_101_wallpad_427110813_엔비디아_주가_올랐어.wav,엔비디아 주가 올랐어?,엔비디아 주가 올랐어,0.0,0.0,1,1,0,0,0,0,9,9,0.1523,467.5,3.07,2,89.2
58,2025-11-19_09-19-20_12345555_101_101_wallpad_427485813_문_닫아줘.wav,응 닫아줘,응 닫아줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0883,234.1,2.65,1,90.8
60,2025-11-19_09-19-35_12345555_101_101_wallpad_427500813_가스밸브_잠가줘.wav,가스밸브 잠궈줘,가스 밸브 잠궈 줘,0.0,0.0,1,1,0,0,0,0,7,7,0.0786,233.5,2.97,1,82.9
66,2025-11-19_09-20-29_12345555_101_101_wallpad_427553813_엘들_빨리_불러줘.wav,엘베 빨리 불러줘,엘베 빨리 불러 줘,0.0,0.0,1,1,0,0,0,0,7,7,0.0796,233.9,2.94,1,81.6
68,2025-11-19_09-20-47_12345555_101_101_wallpad_427571813_문_열어줘.wav,문 열어줘,문 열어 줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0915,233.4,2.55,1,86.8
69,2025-11-19_09-20-54_12345555_101_101_wallpad_427578813_열어.wav,열어,열어,0.0,0.0,1,1,0,0,0,0,2,2,0.1018,234.2,2.3,1,94.7
73,2025-11-19_09-21-29_12345555_101_101_wallpad_427613813_빨리_도와줘.wav,빨리 도와줘,빨리 도와줘,0.0,0.0,1,1,0,0,0,0,5,5,0.0925,233.1,2.52,1,85.5
75,2025-11-19_09-21-43_12345555_101_101_wallpad_427628813_응급_상황이야.wav,응급상황이야,응급 상황이야,0.0,0.0,1,1,0,0,0,0,6,6,0.0867,233.2,2.69,1,89.5
76,2025-11-19_09-21-51_12345555_101_101_wallpad_427635813_긴급한_상황이야.wav,긴급한 상황이야,긴급한 상황이야,0.0,0.0,1,1,0,0,0,0,7,7,0.0839,233.3,2.78,1,86.8
78,2025-11-19_09-22-05_12345555_101_101_wallpad_427649813_도와줄세요_고.wav,도와주세요,도와주세요,0.0,0.0,1,1,0,0,0,0,5,5,0.0891,233.4,2.62,1,86.8
84,2025-11-19_09-23-01_12345555_101_101_wallpad_427705813_이십삼년_십일월_가스_사용량_알려줘.wav,이십삼년 십일월 가스 사용량 알려줘,이십삼 년 십일 월 가스 사용량 알려줘,0.0,0.0,1,1,0,0,0,0,15,15,0.1151,467.3,4.06,2,85.6
89,2025-11-19_09-23-43_12345555_101_101_wallpad_427747813_소리_좀_줄여줘.wav,소리 좀 줄여줘,소리 좀 줄여줘,0.0,0.0,1,1,0,0,0,0,6,6,0.084,233.6,2.78,1,89.5
90,2025-11-19_09-23-50_12345555_101_101_wallpad_427755813_소리_좀_키워줘.wav,소리 좀 키워줘,소리 좀 키워 줘,0.0,0.0,1,1,0,0,0,0,6,6,0.0872,233.8,2.68,1,88.2
91,2025-11-19_09-23-58_12345555_101_101_wallpad_427762813_소리_좀_더_크게_해줘.wav,소리 좀 더 크게해줘,소리 좀 더 크게 해 줘,0.0,0.0,1,1,0,0,0,0,8,8,0.0797,234.2,2.94,1,85.5
94,2025-11-19_09-24-21_12345555_101_101_wallpad_427786813_한_단계_더_낮춰줘.wav,한단계 더 낮춰줘,한 단계 더 낮춰줘,0.0,0.0,1,1,0,0,0,0,7,7,0.0797,234.2,2.94,1,84.2
95,2025-11-19_09-24-28_12345555_101_101_wallpad_427793813_좀만_더_낮춰줘.wav,좀만 더 낮춰줘,좀만 더 낮춰줘,0.0,0.0,1,1,0,0,0,0,6,6,0.083,233.4,2.81,1,86.8
96,2025-11-19_09-24-36_12345555_101_101_wallpad_427800813_화면이_너무_밝아.wav,화면이 너무 밝아,화면이 너무 밝아,0.0,0.0,1,1,0,0,0,0,7,7,0.0843,234.3,2.78,1,85.5
97,2025-11-19_09-24-44_12345555_101_101_wallpad_427808813_화면이_너무_어두워.wav,화면이 너무 어두워,화면이 너무 어두워,0.0,0.0,1,1,0,0,0,0,8,8,0.0813,233.4,2.87,1,85.5
98,2025-11-19_09-24-52_12345555_101_101_wallpad_427816813_화면_더_밝이_해줘.wav,화면 더 밝게 해줘,화면 더 밝게 해 줘,0.0,0.0,1,1,0,0,0,0,7,7,0.0807,234.1,2.9,1,81.6
100,2025-11-19_09-25-07_12345555_101_101_wallpad_427832813_화면_제일_밝게_해줘.wav,화면 제일 밝게 해줘,화면 제일 밝게 해 줘,0.0,0.0,1,1,0,0,0,0,8,8,0.0786,234.2,2.98,1,77.6
101,2025-11-19_09-25-15_12345555_101_101_wallpad_427839813_화면_제일_어둡게_해줘.wav,화면 제일 어둡게 해줘,화면 제일 어둡게 해 줘,0.0,0.0,1,1,0,0,0,0,9,9,0.0787,233.6,2.97,1,81.6
102,2025-11-19_09-25-22_12345555_101_101_wallpad_427847813_알림음_꺼줘.wav,알림음 꺼줘,알림음 꺼 줘,0.0,0.0,1,1,0,0,0,0,5,5,0.0852,234.2,2.75,1,88.2
32,2025-11-19_09-13-31_12345555_101_101_wallpad_427135813_어제_한국된_브라질_주구_어떻게_됐어.wav,어제 한국 대 브라질 축구 어떻게 됐어?,어제 한국 대 브라질 축구 어떻게 됐 음,6.67,14.29,0,0,0,0,1,1,15,15,0.117,467.0,3.99,2,85.6
36,2025-11-19_09-14-06_12345555_101_101_wallpad_427171813_여기서_미팅_장소까지_얼마나_걸려.wav,여기서 미팅장소까지 얼마나 걸려?,여기서 미팅 장소까지 얼마나 걸려 음,7.14,25.0,0,1,1,0,0,1,14,15,0.1227,467.3,3.81,2,86.3
39,2025-11-19_09-16-38_12345555_101_101_wallpad_427322813_지금_집으로_출발하면_언제_도착해.wav,지금 집으로 출발하면 언제 도착해?,지금 집으로 출발하면 언제 도착해 음,7.14,20.0,0,1,1,0,0,1,14,15,0.1241,467.7,3.77,2,86.3
63,2025-11-19_09-20-01_12345555_101_101_wallpad_427525813_나_지금_외출해_엘리베이터_불러줘.wav,"나 지금 외출해, 엘리베이터 불러줘",나 지금 외출해 엘리베이터 불러 음,7.14,20.0,0,0,0,0,1,1,14,14,0.1217,467.5,3.84,2,85.6
80,2025-11-19_09-22-26_12345555_101_101_wallpad_427670813_작년_십이월_관리비_얼마_나왔어.wav,작년 십이월 관리비 얼마 나왔어?,작년 십이월 관리비 얼마 나왔어 네,7.69,20.0,0,1,1,0,0,1,13,14,0.133,466.9,3.51,2,85.6
1,2025-11-19_09-08-16_12345555_101_101_wallpad_426820813_관리사무서_전화번호_알려줘.wav,관리사무소 전화번호 알려줘,관리사무소 전화번호 알려 줘 네,8.33,33.33,0,1,1,0,0,1,12,13,0.1407,467.1,3.32,2,85.6
30,2025-11-19_09-13-14_12345555_101_101_wallpad_427118813_경제_뉴스_간단하게_정리해줘.wav,경제 뉴스 간단하게 정리해줘,경제 뉴스 간단하게 정리해 줘 음,8.33,25.0,0,1,1,0,0,1,12,13,0.1281,466.3,3.64,2,84.2
50,2025-11-19_09-18-18_12345555_101_101_wallpad_427422813_근처에_가장_싼_주유소_알려줘.wav,근처에 가장 싼 주유소 알려줘,근처에 가장 싼 주유소 알려 줘 음,8.33,20.0,0,1,1,0,0,1,12,13,0.1305,467.1,3.58,2,84.9
79,2025-11-19_09-22-17_12345555_101_101_wallpad_427662813_이번_달에_관리비_얼마나_썼니.wav,이번달에 관리비 얼마나 썼니?,이번 달에 관리비 얼마나 썼니 네,8.33,25.0,0,1,1,0,0,1,12,13,0.1395,467.2,3.35,2,83.5
20,2025-11-19_09-11-53_12345555_101_101_wallpad_427038813_일월_십팔일_공지_알려줘.wav,일월 이십팔일 공지 알려줘,일월 이십팔 일 공지 알려 줘 음,9.09,25.0,0,1,1,0,0,1,11,12,0.1382,467.2,3.38,2,89.2
27,2025-11-19_09-12-50_12345555_101_101_wallpad_427095813_한국경제_일면_뉴스_읽어줘.wav,한국경제 일면뉴스 읽어줘,한국 경제 일면 뉴스 읽어 줘 네,9.09,33.33,0,1,1,0,0,1,11,12,0.1272,466.7,3.67,2,86.3
61,2025-11-19_09-19-43_12345555_101_101_wallpad_427508813_가스밸브_오분_후에_닫아줘.wav,가스밸브 오분 후에 닫아줘,가스 밸브 오 분 후에 닫아 줘 음,9.09,25.0,0,1,1,0,0,1,11,12,0.1331,467.2,3.51,2,83.5
3,2025-11-19_09-08-33_12345555_101_101_wallpad_426838813_관리사호소_번호_알려줘.wav,관리사무소 번호 알려줘,관리사무소 번호 알려 줘 네,10.0,33.33,0,1,1,0,0,1,10,11,0.1476,468.0,3.17,2,88.5
15,2025-11-19_09-10-10_12345555_101_101_wallpad_426934813_지난번_공지사항_뭐였지.wav,지난번 공지사항 뭐였지?,지난번  공지사항 뭐였지 네,10.0,33.33,0,1,1,0,0,1,10,11,0.1343,467.3,3.48,2,90.6
17,2025-11-19_09-10-28_12345555_101_101_wallpad_426952813_지난주_공지사항_말해줘.wav,지난주 공지사항 말해줘,지난주 공지사항 말해 줘 네,10.0,33.33,0,1,1,0,0,1,10,11,0.1434,467.4,3.26,2,89.9
22,2025-11-19_09-12-10_12345555_101_101_wallpad_427054813_오월_오일_공지가_뭐였지.wav,오월 오일 공지가 뭐였지?,오월 오 일 공지가 뭐였지 네,10.0,25.0,0,1,1,0,0,1,10,11,0.1408,467.6,3.32,2,91.4
25,2025-11-19_09-12-34_12345555_101_101_wallpad_427078813_세대별_수속_날짜_알려줘.wav,세대별 소독 날짜 알려줘,세대별 소독 날짜 알려 줘 네,10.0,25.0,0,1,1,0,0,1,10,11,0.1377,466.7,3.39,2,89.2
54,2025-11-19_09-18-49_12345555_101_101_wallpad_427454813_가스밸브_현재_열려_있어.wav,가스밸브 현재 열려있어?,가스 밸브 현재 열려있어 네,10.0,33.33,0,1,1,0,0,1,10,11,0.1407,467.0,3.32,2,83.5
81,2025-11-19_09-22-34_12345555_101_101_wallpad_427678813_지난달_소업세_얼마였지.wav,지난달 수도세 얼마였지?,지난달 수도세 얼마였지 네,10.0,33.33,0,1,1,0,0,1,10,11,0.1407,467.1,3.32,2,89.2
49,2025-11-19_09-18-10_12345555_101_101_wallpad_427414813_근처_우리_동네_주유_휘발유_평균_가격이_어때.wav,근처 우리동네 주유소 휘발유 평균 가격이 어때?,근처 우리 동네 주소 휘발유 평 평균 가격이 어때,10.53,28.57,0,0,0,0,2,2,19,19,0.1037,466.5,4.5,2,82.0
19,2025-11-19_09-10-44_12345555_101_101_wallpad_426968813_구월_일에_공지_있었어.wav,구월 일일 공지 있었어?,구 월 일 일에 공지 있었어,11.11,25.0,0,0,1,0,0,1,9,10,0.1465,467.5,3.19,2,91.4
26,2025-11-19_09-12-42_12345555_101_101_wallpad_427086813_오늘_경제뉴스_알려줘.wav,오늘 경제뉴스 알려줘,오늘 경제 뉴스 알려 줘 네,11.11,33.33,0,1,1,0,0,1,9,10,0.1433,467.2,3.26,2,90.6
88,2025-11-19_09-23-35_12345555_101_101_wallpad_427739813_소리가_너무_커_줄여줘.wav,소리가 너무커 줄여줘,소리가 너무 커 줄여,11.11,33.33,0,0,0,1,0,1,9,8,0.1196,466.4,3.9,2,92.1
55,2025-11-19_09-18-57_12345555_101_101_wallpad_427461813_나_가스밸브_잠갔나.wav,나 가스밸브 잠궜나?,나 가스 밸브 잠갔나,12.5,33.33,0,0,0,0,1,1,8,8,0.1506,466.8,3.1,2,89.9
23,2025-11-19_09-12-18_12345555_101_101_wallpad_427062813_세계소독_알려줘.wav,세대소독 알려줘,세대 소득 알려 줘,14.29,50.0,0,0,0,0,1,1,7,7,0.081,233.3,2.88,1,88.2
35,2025-11-19_09-13-58_12345555_101_101_wallpad_427162813_오후_네시에_출발하면_얼마나_걸려.wav,오후 열시에 출발하면 얼마나 걸려?,오후 네 시에 출발하면 얼마나 걸려 음,14.29,40.0,0,0,1,0,1,2,14,15,0.1237,466.5,3.77,2,83.5
43,2025-11-19_09-17-16_12345555_101_101_wallpad_427361813_대전_중앙시장_가하길_보내볼려.wav,대전 중앙시장 가는데 얼마나 걸려?,대전 중앙시장 가 데 얼마나 걸려 음,14.29,40.0,0,0,0,0,2,2,14,14,0.1328,467.6,3.52,2,86.3
56,2025-11-19_09-19-04_12345555_101_101_wallpad_427469813_가스밸브_잠갔나.wav,가스밸브 잠궜나?,가스 밸브 잠꿨나,14.29,50.0,0,0,0,0,1,1,7,7,0.0802,233.4,2.91,1,82.9
59,2025-11-19_09-19-28_12345555_101_101_wallpad_427492813_가스밸브_닫아줘.wav,가스밸브 닫아줘,가스트 밸브 닫아 줘,14.29,50.0,0,0,1,0,0,1,7,8,0.0813,233.4,2.87,1,80.3
38,2025-11-19_09-14-23_12345555_101_101_wallpad_427187813_집까지_가는데_얼마나_걸리지.wav,집까지 가는데 얼마나 걸리지?,집까지 가는 데 얼마나 걸리지 감합,16.67,50.0,0,1,2,0,0,2,12,14,0.1447,467.5,3.23,2,84.9
86,2025-11-19_09-23-18_12345555_101_101_wallpad_427722813_이십오년_이월_난방비_얼마야.wav,이십오년 이월 난방비 얼마야?,이십오년 이월 난감비 얼마야 음,16.67,50.0,0,0,1,0,1,2,12,13,0.1317,467.7,3.55,2,86.3
51,2025-11-19_09-18-25_12345555_101_101_wallpad_427430813_집_근처_휘연유_가격_알려줘.wav,집 근처 휘발유 가격 알려줘,집 근처 휘발유 관격 알려 줘 네,18.18,40.0,0,0,1,0,1,2,11,12,0.1395,467.3,3.35,2,85.6
37,2025-11-19_09-14-14_12345555_101_101_wallpad_427179813_돌_다_하는데_얼마나_걸려.wav,본가 가는데 얼마나 걸려?,공가 가 는데 얼마나 걸려 어,20.0,50.0,0,0,1,0,1,2,10,11,0.1463,468.1,3.2,2,89.2
46,2025-11-19_09-17-42_12345555_101_101_wallpad_427386813_대전_역화_많야하는데_얼마나_걸리지.wav,대전 벽화마을 가는데 얼마나 걸리지?,대전 양하마을 가 는데 얼마나 걸리지 음,20.0,60.0,0,0,1,0,2,3,15,16,0.1296,467.7,3.61,2,84.9
47,2025-11-19_09-17-50_12345555_101_101_wallpad_427395813_장태창까지_얼마나_걸려.wav,장태산까지 얼마나 걸려?,장퇴상까지 얼마나 걸려,20.0,66.67,0,0,0,0,2,2,10,10,0.0778,233.3,3.0,1,82.9
87,2025-11-19_09-23-26_12345555_101_101_wallpad_427731813_올해_일월_난방비_알려줘.wav,올해 일월 난방비 알려줘,올해 일 월난반비 알려 줘 음,20.0,50.0,0,0,1,0,1,2,10,11,0.1408,467.4,3.32,2,87.8
103,2025-11-19_09-25-29_12345555_101_101_wallpad_427854813_알은불_켜줘.wav,알림음 켜줘,알림 거 켜 줘,20.0,50.0,0,0,0,0,1,1,5,5,0.0859,233.7,2.72,1,88.2
64,2025-11-19_09-20-09_12345555_101_101_wallpad_427534813_나_지금_나갈게_엘리베이터_불러줘.wav,"나 지금 나갈게, 엘리베이터 불러줘",나 지금 나갈게 엘리베이터 불러 그렇 음,21.43,60.0,0,0,2,0,1,3,14,16,0.1152,467.6,4.06,2,86.3
21,2025-11-19_09-12-01_12345555_101_101_wallpad_427046813_이월_일일_공지_알려줘.wav,이월 일일 공지 알려줘,이 월 일일 된지 알려 줘 네,22.22,50.0,0,0,1,0,1,2,9,10,0.1463,468.2,3.2,2,88.5
33,2025-11-19_09-13-39_12345555_101_101_wallpad_427144813_양자_섹트_브리핑_해줘.wav,양자 세션 브리핑 해줘,양자패션 브리핑해 줘 네,22.22,50.0,0,0,1,0,1,2,9,10,0.1391,467.3,3.36,2,87.8
41,2025-11-19_09-16-59_12345555_101_101_wallpad_427344813_대전역까지_가장_빠른_길_알려줘.wav,대전역까지 가장 빠른길 알려줘,대전역까지 가장 빠르게 알려 줘 네,23.08,75.0,0,0,1,0,2,3,13,14,0.1364,466.4,3.42,2,87.1
44,2025-11-19_09-17-25_12345555_101_101_wallpad_427370813_대주년_카페거리까지_가장_빠_길_알려줘.wav,대전 카페거리까지 가장 빠른길 알려줘,대전 카페고리까지 가장 빠르게 알려 음,25.0,80.0,0,0,0,0,4,4,16,16,0.1216,467.1,3.84,2,87.8
48,2025-11-19_09-17-59_12345555_101_101_wallpad_427404813_대주에스포_서울에서_가는_길_알려줘.wav,대전 엑스포 아쿠아리움 가는길 알려줘,대전 에스포 아쿠아려 가는 길 알려 줘 음,25.0,80.0,0,0,0,0,4,4,16,16,0.127,467.5,3.68,2,85.6
71,2025-11-19_09-21-08_12345555_101_101_wallpad_427593813_문_열어.wav,문 열어줘,문 열어,25.0,50.0,0,0,0,1,0,1,4,3,0.0929,234.2,2.52,1,89.5
82,2025-11-19_09-22-43_12345555_101_101_wallpad_427687813_이집_오면_십이월_경기세터_얼마나_나았어.wav,이십오년 십이월 전기세는 얼마 나왔어?,이십오년 십이월 정기세트 얼마 나 음,25.0,80.0,0,0,0,1,3,4,16,15,0.1169,467.6,4.0,2,87.1
83,2025-11-19_09-22-52_12345555_101_101_wallpad_427696813_이천십_구년_십일월_경기_세트_얼마였어.wav,이천십구년 십일월 전기세는 얼마였어?,이천 십구년 십일 월  전기세가 얼 알 음,25.0,100.0,0,0,0,1,3,4,16,15,0.1126,467.3,4.15,2,84.9
104,2025-11-19_09-25-37_12345555_101_101_wallpad_427861813_당장_꺼줘.wav,알람 꺼줘,알람 꺼져,25.0,50.0,0,0,0,0,1,1,4,4,0.0915,233.2,2.55,1,92.1
65,2025-11-19_09-20-17_12345555_101_101_wallpad_427541813_지금_엘리베터몇_층이야.wav,지금 엘리베이터 몇층이야?,지금 엘리베이터 몇 층이야 네니다,27.27,100.0,0,1,3,0,0,3,11,14,0.1507,467.3,3.1,2,86.3
