id,dataset,gt,npu,duration,chunks,cer
59,009_results_9.97_top30_avg_61.27,한오십만될까,한 오십만 될까,2.09,1,0.0
62,010_results_10.76_top30_avg_88.25,오,오,1.78,1,0.0
63,010_results_10.76_top30_avg_88.25,보입니다,보입니다,1.39,1,0.0
120,7F_HJY_results_9.27_top30_avg_26.95,안알려줘도돼,안 알려줘도 돼,2.56,1,0.0
145,7F_HJY_results_9.27_top30_avg_26.95,좀만더낮춰줘,좀만 더 낮춰 줘,2.81,1,0.0
152,7F_KSK_results_2.66_top30_avg_9.59,알람십분뒤에다시켜줘,알람 십 분 뒤에 다시 켜 줘,2.94,1,0.0
154,7F_KSK_results_2.66_top30_avg_9.59,이번달에관리비얼마나썼니?,이번 달에 관리비 얼마나 썼니,2.73,1,0.0
163,7F_KSK_results_2.66_top30_avg_9.59,가스밸브현재열려있어?,가스 밸브 현재 열려 있어,2.77,1,0.0
168,7F_KSK_results_2.66_top30_avg_9.59,작년십이월관리비얼마나왔어?,작년 십 이 월 관리비 얼마 나왔어,2.61,1,0.0
170,7F_KSK_results_2.66_top30_avg_9.59,대전벽화마을가는데얼마나걸리지?,대전 벽화마을 가는데 얼마나 걸리지,2.37,1,0.0
171,7F_KSK_results_2.66_top30_avg_9.59,이천십구년십일월전기세는얼마였어?,이천십 구 년 십 일 월 전기세는 얼마였어,2.76,1,0.0
173,7F_KSK_results_2.66_top30_avg_9.59,지난달수도세얼마였지?,지난달 수도세 얼마였지,2.94,1,0.0
175,7F_KSK_results_2.66_top30_avg_9.59,도와주세요,도와주세요,2.35,1,0.0
182,eval_clean_p_results_10.07_top30_avg_91.39,그럼너,그럼 너,0.32,1,0.0
198,eval_clean_p_results_10.07_top30_avg_91.39,낙서를했다고,낙서를 했다고,1.31,1,0.0
202,eval_clean_p_results_10.07_top30_avg_91.39,덕준이,덕준이,0.79,1,0.0
204,eval_clean_p_results_10.07_top30_avg_91.39,그래가지고,그래가지고,0.67,1,0.0
223,eval_other_p_results_9.54_top30_avg_69.09,더워요,더워요,1.26,1,0.0
229,eval_other_p_results_9.54_top30_avg_69.09,오피스텔왜,오피스텔 왜,1.08,1,0.0
242,modelhouse_2m_noheater_results_3.59_top30_avg_6.10,응닫아줘,응 닫아 줘,2.36,1,0.0
243,modelhouse_2m_noheater_results_3.59_top30_avg_6.10,세대소독알려줘,세대 소독 알려 줘,2.91,1,0.0
246,modelhouse_2m_noheater_results_3.59_top30_avg_6.10,이번달에관리비얼마나썼니?,이번 달에 관리비 얼마나 썼니,3.64,2,0.0
249,modelhouse_2m_noheater_results_3.59_top30_avg_6.10,칠월오일공지알려줘,칠 월 오 일 공지 알려 줘,3.33,2,0.0
250,modelhouse_2m_noheater_results_3.59_top30_avg_6.10,화면이너무밝아,화면이 너무 밝아,2.94,1,0.0
252,modelhouse_2m_noheater_results_3.59_top30_avg_6.10,알림음꺼줘,알림음 꺼 줘,2.88,1,0.0
254,modelhouse_2m_noheater_results_3.59_top30_avg_6.10,지난공지사항알려줘,지난 공지사항 알려 줘,3.26,2,0.0
255,modelhouse_2m_noheater_results_3.59_top30_avg_6.10,집에서회사까지몇분걸려?,집에서 회사까지 몇 분 걸려,3.65,2,0.0
256,modelhouse_2m_noheater_results_3.59_top30_avg_6.10,오늘경제뉴스알려줘,오늘 경제 뉴스 알려줘,3.0,1,0.0
257,modelhouse_2m_noheater_results_3.59_top30_avg_6.10,세대소독알려줘,세대소독 알려 줘,2.62,1,0.0
258,modelhouse_2m_noheater_results_3.59_top30_avg_6.10,문열어줘,문 열어 줘,2.62,1,0.0
262,modelhouse_2m_noheater_results_3.59_top30_avg_6.10,살려줘도와줘비상,살려줘 도와줘 비상,3.52,2,0.0
263,modelhouse_2m_noheater_results_3.59_top30_avg_6.10,문열어줘,문 열어 줘,2.55,1,0.0
267,modelhouse_2m_noheater_results_3.59_top30_avg_6.10,가스밸브현재열려있어?,가스 밸브 현재 열려 있어,3.52,2,0.0
274,modelhouse_2m_results_8.51_top30_avg_14.48,화면이너무밝아,화면이 너무 밝아,2.78,1,0.0
278,modelhouse_2m_results_8.51_top30_avg_14.48,응닫아줘,응 닫아 줘,2.4,1,0.0
282,modelhouse_2m_results_8.51_top30_avg_14.48,세대소독알려줘,세대소독 알려줘,3.0,1,0.0
298,modelhouse_2m_results_8.51_top30_avg_14.48,문열어줘,문 열어 줘,2.68,1,0.0
299,modelhouse_2m_results_8.51_top30_avg_14.48,관리사무소전화번호가어떻게되지?,관리사무소 전화번호가 어떻게 되지,3.77,2,0.0
300,modelhouse_3m_results_15.72_top30_avg_26.55,문열어줘,문 열어 줘,2.27,1,0.0
318,modelhouse_3m_results_15.72_top30_avg_26.55,알림음켜줘,알림음 켜 줘,2.88,1,0.0
323,modelhouse_3m_results_15.72_top30_avg_26.55,오늘경제뉴스알려줘,오늘 경제 뉴스 알려줘,3.0,1,0.0
146,7F_HJY_results_9.27_top30_avg_26.95,근처우리동네주유소휘발유평균가격이어때?,근처 우리 동네 주유소 휘발유 평 균 가격이 어때 음,4.5,2,5.26
259,modelhouse_2m_noheater_results_3.59_top30_avg_6.10,근처우리동네주유소휘발유평균가격이어때?,근처 우리 동네 주유소 휘발유 평균 가격이 어때 어,4.8,2,5.26
329,modelhouse_3m_results_15.72_top30_avg_26.55,근처우리동네주유소휘발유평균가격이어때?,근처 우리 동네 주유소 휘발유 평균 가격이 어때 음,4.44,2,5.26
105,012_results_4.86_top30_avg_37.73,삼에서칠일보다더걸리는건아니죠,삼회에서 칠 일보다 더 걸리는 건 아니죠,2.37,1,6.67
138,7F_HJY_results_9.27_top30_avg_26.95,어제한국대브라질축구어떻게됐어?,어제 한국 대 브라질 축구 어떻게 됐 오,3.99,2,6.67
248,modelhouse_2m_noheater_results_3.59_top30_avg_6.10,관리사무소전화번호가어떻게되지?,관리사무소 전화번호가 어떻게 되 어,3.93,2,6.67
253,modelhouse_2m_noheater_results_3.59_top30_avg_6.10,관리사무소전화번호가어떻게되지?,관리사무소 전화번호가 어떻게 되지 오,3.04,2,6.67
275,modelhouse_2m_results_8.51_top30_avg_14.48,관리사무소전화번호가어떻게되지?,관리사무소 전화번호가 어떻게 되지 우,3.04,2,6.67
125,7F_HJY_results_9.27_top30_avg_26.95,대전중앙시장가는데얼마나걸려?,대전중앙시장 가는데 얼마나 걸려 음,3.52,2,7.14
100,012_results_4.86_top30_avg_37.73,시간을좀늘려줄수는없나요,시간을 좀 늘려줄 수 없나요,1.74,1,8.33
147,7F_HJY_results_9.27_top30_avg_26.95,관리사무소전화번호알려줘,관리사무소 전화번호 알려 줘 음,3.32,2,8.33
290,modelhouse_2m_results_8.51_top30_avg_14.48,이번달에관리비얼마나썼니?,이번 달에 관리비 얼마나 썼니 둘,3.74,2,8.33
