id,wav,ref,npu_hyp,cer,wer,exact,contains_ref,insertion,deletion,substitution,edit_dist,ref_len,hyp_len,rtf,infer_ms,duration,chunks,blank_ratio
8,12345555_101_101_wallpad_346099813_2025-11-18_10:42:55_알려줘.wav,알려줘,알려 줘,0.0,100.0,1,1,0,0,0,0,3,3,0.0975,234.0,2.4,1,94.7
9,12345555_101_101_wallpad_346106813_2025-11-18_10:43:01_됐어.wav,됐어,됐어,0.0,0.0,1,1,0,0,0,0,2,2,0.1612,233.8,1.45,1,93.4
11,12345555_101_101_wallpad_346119813_2025-11-18_10:43:14_응_말해줘.wav,응 말해줘,응 말해줘,0.0,0.0,1,1,0,0,0,0,4,4,0.2438,234.0,0.96,1,92.1
14,12345555_101_101_wallpad_346139813_2025-11-18_10:43:34_괜찮아.wav,괜찮아,괜찮아,0.0,0.0,1,1,0,0,0,0,3,3,0.1074,234.1,2.18,1,93.4
27,12345555_101_101_wallpad_346265813_2025-11-18_10:45:40_오늘_경제_뉴스_알려줘.wav,오늘 경제뉴스 알려줘,오늘 경제 뉴스 알려 줘,0.0,100.0,1,1,0,0,0,0,9,9,0.0922,234.1,2.54,1,86.8
33,12345555_101_101_wallpad_346313813_2025-11-18_10:46:29_어제_한국대_브라질_축구_어떻게_됐어.wav,어제 한국 대 브라질 축구 어떻게 됐어?,어제 한국 대 브라질 축구 어떻게 됐어,0.0,14.29,1,1,0,0,0,0,15,15,0.0842,234.2,2.78,1,77.6
45,12345555_101_101_wallpad_346411813_2025-11-18_10:48:07_대전_카페거리까지_가장_빠른_길_알려줘.wav,대전 카페거리까지 가장 빠른길 알려줘,대전 카페거리까지 가장 빠른 길 알려 줘,0.0,80.0,1,1,0,0,0,0,16,16,0.0884,233.4,2.64,1,73.7
47,12345555_101_101_wallpad_346438813_2025-11-18_10:48:34_대전_벽화마을를_가는데_얼마나_걸리지.wav,대전 벽화마을 가는데 얼마나 걸리지?,대전 벽화마을 가는데 얼마나 걸리지,0.0,20.0,1,1,0,0,0,0,15,15,0.0985,233.4,2.37,1,76.3
49,12345555_101_101_wallpad_346456813_2025-11-18_10:48:51_대전_엑스포_아쿠아리움_가는_길_알려줘.wav,대전 엑스포 아쿠아리움 가는길 알려줘,대전 엑스포 아쿠아리움 가는 길 알려 줘,0.0,80.0,1,1,0,0,0,0,16,16,0.0787,232.9,2.96,1,71.1
55,12345555_101_101_wallpad_346525813_2025-11-18_10:50:01_가스밸브_현제_열려_있어.wav,가스밸브 현재 열려있어?,가스 밸브 현재 열려 있어,0.0,100.0,1,1,0,0,0,0,10,10,0.0845,234.1,2.77,1,80.3
63,12345555_101_101_wallpad_346581813_2025-11-18_10:50:57_가스밸브_한시간_뒤에_닫아줘.wav,가스밸브 한시간 뒤에 닫아줘,가스 밸브 한 시간 뒤에 닫아 줘,0.0,100.0,1,1,0,0,0,0,12,12,0.0785,233.2,2.97,1,73.7
70,12345555_101_101_wallpad_346633813_2025-11-18_10:51:49_열어.wav,열어,열어,0.0,0.0,1,1,0,0,0,0,2,2,0.153,234.1,1.53,1,97.4
72,12345555_101_101_wallpad_346646813_2025-11-18_10:52:01_응열어.wav,응 열어,응열어,0.0,100.0,1,1,0,0,0,0,3,3,0.1632,233.4,1.43,1,92.1
79,12345555_101_101_wallpad_346690813_2025-11-18_10:52:46_도와주세요.wav,도와주세요,도와주세요,0.0,0.0,1,1,0,0,0,0,5,5,0.0994,233.6,2.35,1,90.8
80,12345555_101_101_wallpad_346698813_2025-11-18_10:52:53_이번_달에_관리비_얼마나_썼니.wav,이번달에 관리비 얼마나 썼니?,이번 달에 관리비 얼마나 썼니,0.0,75.0,1,1,0,0,0,0,12,12,0.0853,233.0,2.73,1,78.9
81,12345555_101_101_wallpad_346705813_2025-11-18_10:53:01_작년_십일월월_관리비_얼마_나왔어.wav,작년 십이월 관리비 얼마 나왔어?,작년 십 이 월 관리비 얼마 나왔어,0.0,80.0,1,1,0,0,0,0,13,13,0.0897,234.2,2.61,1,77.6
82,12345555_101_101_wallpad_346713813_2025-11-18_10:53:09_지난달_수도세_얼마였지.wav,지난달 수도세 얼마였지?,지난달 수도세 얼마였지,0.0,33.33,1,1,0,0,0,0,10,10,0.0797,234.2,2.94,1,85.5
84,12345555_101_101_wallpad_346731813_2025-11-18_10:53:26_이천십구년_십일월_정기세는_얼마였어.wav,이천십구년 십일월 전기세는 얼마였어?,이천십 구년 십 일 월 전기세는 얼마였어,0.0,100.0,1,1,0,0,0,0,16,16,0.0846,233.5,2.76,1,75.0
87,12345555_101_101_wallpad_346757813_2025-11-18_10:53:52_이십_오년_이월_난방비_얼마야.wav,이십오년 이월 난방비 얼마야?,이십 오 년 이 월 난방비 얼마야,0.0,100.0,1,1,0,0,0,0,12,12,0.0835,233.0,2.79,1,76.3
96,12345555_101_101_wallpad_346820813_2025-11-18_10:54:56_좀만_더_낮춰줘.wav,좀만 더 낮춰줘,좀만 더 낮춰 줘,0.0,66.67,1,1,0,0,0,0,6,6,0.1038,233.5,2.25,1,88.2
98,12345555_101_101_wallpad_346833813_2025-11-18_10:55:09_화면이_너무_어두워.wav,화면이 너무 어두워,화면이 너무 어두워,0.0,0.0,1,1,0,0,0,0,8,8,0.1823,233.4,1.28,1,88.2
107,12345555_101_101_wallpad_346950813_2025-11-18_10:57:06_알람_십분_뒤에_가시_켜줘.wav,알람 십분 뒤에 다시 켜줘,알람 십 분 뒤에 다시 켜 줘,0.0,80.0,1,1,0,0,0,0,10,10,0.0796,234.0,2.94,1,78.9
0,12345555_101_101_wallpad_346036813_2025-11-18_10:41:52_관리자무속_전화번호가_어떻게_되지.wav,관리사무소 전화번호가 어떻게 되지?,관리사무소 전화번호가 어떻게 되지 어,6.67,50.0,0,1,1,0,0,1,15,16,0.0948,234.1,2.47,1,81.6
36,12345555_101_101_wallpad_346338813_2025-11-18_10:46:54_오후_열시에_출발하면_얼마나_걸려.wav,오후 열시에 출발하면 얼마나 걸려?,오후 열 시에 출발하면 얼마나 걸려얼,7.14,60.0,0,1,1,0,0,1,14,15,0.1002,233.5,2.33,1,73.7
40,12345555_101_101_wallpad_346371813_2025-11-18_10:47:27_지금_집으로_출발하면_언제_도착해.wav,지금 집으로 출발하면 언제 도착해?,지금 집으로 출발하면 언제 도착  게,7.14,40.0,0,0,0,0,1,1,14,14,0.1365,468.2,3.43,2,86.3
44,12345555_101_101_wallpad_346403813_2025-11-18_10:47:58_대전_중앙시장_가는데_얼마나_걸려.wav,대전 중앙시장 가는데 얼마나 걸려?,대전중앙시장 가는데 얼마나 걸려얼,7.14,60.0,0,1,1,0,0,1,14,15,0.0996,234.1,2.35,1,80.3
86,12345555_101_101_wallpad_346748813_2025-11-18_10:53:43_이천이십사년_칠월_버스비_알려줘.wav,이천이십사년 칠월 가스비 알려줘,이천 이십 사년 칠 월 가스비 알려줘 끝,7.14,100.0,0,1,1,0,0,1,14,15,0.0969,233.6,2.41,1,75.0
42,12345555_101_101_wallpad_346387813_2025-11-18_10:47:42_대전역까지_가장_빠른_길_알려줘.wav,대전역까지 가장 빠른길 알려줘,대전역까지 가장 빠른 길 알려 줘  왜,7.69,100.0,0,1,1,0,0,1,13,14,0.088,234.1,2.66,1,75.0
46,12345555_101_101_wallpad_346419813_2025-11-18_10:48:15_국립중앙박물관_가는_길_알려줘.wav,국립중앙박물관 가는 길 알려줘,국립중앙박물관 가는 길 알 알줘,7.69,50.0,0,0,0,0,1,1,13,13,0.1187,466.5,3.93,2,89.2
28,12345555_101_101_wallpad_346273813_2025-11-18_10:45:49_한국경제_일면_뉴스_읽어줘.wav,한국경제 일면뉴스 읽어줘,한국경제 일면 뉴스 읽어죠,9.09,100.0,0,0,0,0,1,1,11,11,0.0993,233.4,2.35,1,81.6
35,12345555_101_101_wallpad_346330813_2025-11-18_10:46:46_집에서_회사까지_몇_분_걸려.wav,집에서 회사까지 몇분 걸려?,집에서 회사까지 몇 분 걸려회,9.09,75.0,0,1,1,0,0,1,11,12,0.0971,233.9,2.41,1,81.6
62,12345555_101_101_wallpad_346573813_2025-11-18_10:50:49_가스밸브_오분_후에_닫아줘.wav,가스밸브 오분 후에 닫아줘,가스 밸브 오 분 후에 닫아 줘버,9.09,100.0,0,1,1,0,0,1,11,12,0.1188,234.0,1.97,1,73.7
3,12345555_101_101_wallpad_346062813_2025-11-18_10:42:18_관리사무소_번호가_뭐지?.wav,관리사무소 번호가 뭐지?,관리사무소 번호가 뭐지 보,10.0,66.67,0,1,1,0,0,1,10,11,0.1519,234.0,1.54,1,85.5
26,12345555_101_101_wallpad_346253813_2025-11-18_10:45:28_세대별_소독날짜_알려줘.wav,세대별 소독 날짜 알려줘,세대별 소독 날짜 알려줘대,10.0,25.0,0,1,1,0,0,1,10,11,0.0979,232.9,2.38,1,82.9
48,12345555_101_101_wallpad_346447813_2025-11-18_10:48:42_창태서까지_얼마나_걸려.wav,장태산까지 얼마나 걸려?,장태사까지 얼마나 걸려,10.0,66.67,0,0,0,0,1,1,10,10,0.0966,232.9,2.41,1,85.5
20,12345555_101_101_wallpad_346185813_2025-11-18_10:44:20_구월_일일공주_있었어.wav,구월 일일 공지 있었어?,구 월 일 일 공지 있었어 어,11.11,100.0,0,1,1,0,0,1,9,10,0.1036,234.1,2.26,1,85.5
53,12345555_101_101_wallpad_346510813_2025-11-18_10:49:45_근처에_더_싼_곳은_없어.wav,근처에 더 싼 곳은 없어?,근처에 더 싼 곳은 없어따,11.11,20.0,0,1,1,0,0,1,9,10,0.0974,233.8,2.4,1,80.3
68,12345555_101_101_wallpad_346621813_2025-11-18_10:51:36_엘리베이터_호출해줘.wav,엘리베이터 호출해줘,엘리베이터 호출해 줘  내,11.11,100.0,0,1,1,0,0,1,9,10,0.1641,233.0,1.42,1,78.9
94,12345555_101_101_wallpad_346806813_2025-11-18_10:54:42_응_안이_두_단계_낮춰줘.wav,"응, 아니 두단계 낮춰줘",응 아니 두 단계 낮춰 줘얼,11.11,100.0,0,1,1,0,0,1,9,10,0.1259,234.1,1.86,1,78.9
102,12345555_101_101_wallpad_346918813_2025-11-18_10:56:33_화면_제일_어둡게_해줘.wav,화면 제일 어둡게 해줘,화면 제일 어둡게 해줘요,11.11,25.0,0,1,1,0,0,1,9,10,0.0925,234.1,2.53,1,84.2
58,12345555_101_101_wallpad_346546813_2025-11-18_10:50:22_가스밸브_열려_있어.wav,가스밸브 열려있어?,가스 밸브 열려있어  세,12.5,100.0,0,1,1,0,0,1,8,9,0.1042,233.4,2.24,1,81.6
83,12345555_101_101_wallpad_346722813_2025-11-18_10:53:17_이십오년_십이월_전기세는_얼마_나왔어.wav,이십오년 십이월 전기세는 얼마 나왔어?,이십오년 십 이 월 정기세는 얼마 마 나왔어,12.5,100.0,0,0,1,0,1,2,16,17,0.1465,467.2,3.19,2,84.9
85,12345555_101_101_wallpad_346740813_2025-11-18_10:53:35_이십삼년_십일월_가스_상용량_알려줘.wav,이십삼년 십일월 가스 사용량 알려줘,이십 삼 년 십 일 월 가스 사용량 알려줄게,13.33,100.0,0,0,1,0,1,2,15,16,0.0925,233.9,2.53,1,75.0
37,12345555_101_101_wallpad_346347813_2025-11-18_10:47:02_여기서_미팅_장소까지_얼마나_걸려.wav,여기서 미팅장소까지 얼마나 걸려?,여기서 미팅 장소까지 얼마나 걸려 맞죠,14.29,100.0,0,1,2,0,0,2,14,16,0.1004,233.9,2.33,1,77.6
60,12345555_101_101_wallpad_346559813_2025-11-18_10:50:35_가스밸브_닫아줘.wav,가스밸브 닫아줘,가스 밸브 닫아 줘 따,14.29,100.0,0,1,1,0,0,1,7,8,0.1419,234.2,1.65,1,80.3
97,12345555_101_101_wallpad_346827813_2025-11-18_10:55:03_화면이_너무_밝아.wav,화면이 너무 밝아,화면이 너무 밝아아,14.29,33.33,0,1,1,0,0,1,7,8,0.1866,233.3,1.25,1,85.5
99,12345555_101_101_wallpad_346840813_2025-11-18_10:55:16_화면_더_밝게_해줘.wav,화면 더 밝게 해줘,화면 더 밝게 해줘 어,14.29,25.0,0,1,1,0,0,1,7,8,0.1155,233.4,2.02,1,84.2
51,12345555_101_101_wallpad_346494813_2025-11-18_10:49:30_근처에_가장_싼_주유소_알려줘.wav,근처에 가장 싼 주유소 알려줘,근처에 가장 싼 주유소 알려줘 가세,16.67,20.0,0,1,2,0,0,2,12,14,0.1085,233.2,2.15,1,77.6
75,12345555_101_101_wallpad_346666813_2025-11-18_10:52:21_일일구_불러줘.wav,일일구 불러줘,일 일 구 불러줘 오,16.67,100.0,0,1,1,0,0,1,6,7,0.1153,233.0,2.02,1,90.8
1,12345555_101_101_wallpad_346046813_2025-11-18_10:42:02_관리사무소_전화번호_뭐야.wav,관리사무소 전화번호 뭐야?,관리사무소 전화번호 뭐야따요,18.18,33.33,0,1,2,0,0,2,11,13,0.1207,234.1,1.94,1,81.6
52,12345555_101_101_wallpad_346502813_2025-11-18_10:49:38_집_근처_휘발유_가격_알려줘.wav,집 근처 휘발유 가격 알려줘,집 근처 휘발유 가격 알려줘 따요,18.18,20.0,0,1,2,0,0,2,11,13,0.1121,233.1,2.08,1,76.3
66,12345555_101_101_wallpad_346605813_2025-11-18_10:51:20_지금_엘리베이터_몇_층이야.wav,지금 엘리베이터 몇층이야?,지금 엘리베이터 몇 층이야 텔지,18.18,100.0,0,1,2,0,0,2,11,13,0.101,233.4,2.31,1,75.0
