id,wav,ref,npu_hyp,cer,wer,exact,contains_ref,insertion,deletion,substitution,edit_dist,ref_len,hyp_len,rtf,infer_ms,duration,chunks,blank_ratio
1,2025-11-19_09-08-16_12345555_101_101_wallpad_426820813_관리사무서_전화번호_알려줘.wav,관리사무소 전화번호 알려줘,관리사무소 전화번호 알려 줘,0.0,0.0,1,1,0,0,0,0,12,12,0.1411,468.4,3.32,2,89.9
3,2025-11-19_09-08-33_12345555_101_101_wallpad_426838813_관리사호소_번호_알려줘.wav,관리사무소 번호 알려줘,관리사무소 번호 알려 줘,0.0,0.0,1,1,0,0,0,0,10,10,0.1474,467.3,3.17,2,91.4
4,2025-11-19_09-08-42_12345555_101_101_wallpad_426846813_관리소_전화번호_알려줘.wav,관리소 전화번호 알려줘,관리소 전화번호 알려 줘,0.0,0.0,1,1,0,0,0,0,10,10,0.1498,468.8,3.13,2,92.1
5,2025-11-19_09-08-50_12345555_101_101_wallpad_426854813_관리수_전화번호_말해줘.wav,관리소 전화번호 말해줘,관리소 전화번호 말해 줘,0.0,0.0,1,1,0,0,0,0,10,10,0.1474,471.8,3.2,2,92.1
7,2025-11-19_09-09-07_12345555_101_101_wallpad_426871813_알려줘.wav,알려줘,알려 줘,0.0,0.0,1,1,0,0,0,0,3,3,0.1033,237.7,2.3,1,94.7
8,2025-11-19_09-09-14_12345555_101_101_wallpad_426878813_됐어.wav,됐어,됐어,0.0,0.0,1,1,0,0,0,0,2,2,0.1,240.1,2.4,1,94.7
20,2025-11-19_09-11-53_12345555_101_101_wallpad_427038813_일월_십팔일_공지_알려줘.wav,일월 이십팔일 공지 알려줘,일월 이십팔일 공지 알려 줘,0.0,0.0,1,1,0,0,0,0,11,11,0.1382,467.3,3.38,2,91.4
22,2025-11-19_09-12-10_12345555_101_101_wallpad_427054813_오월_오일_공지가_뭐였지.wav,오월 오일 공지가 뭐였지?,오 월 오일 공지가 뭐였지,0.0,0.0,1,1,0,0,0,0,10,10,0.1432,475.5,3.32,2,92.1
23,2025-11-19_09-12-18_12345555_101_101_wallpad_427062813_세계소독_알려줘.wav,세대소독 알려줘,세대 소독 알려 줘,0.0,0.0,1,1,0,0,0,0,7,7,0.0825,237.5,2.88,1,89.5
25,2025-11-19_09-12-34_12345555_101_101_wallpad_427078813_세대별_수속_날짜_알려줘.wav,세대별 소독 날짜 알려줘,세대별 소독 날짜 알려 줘,0.0,0.0,1,1,0,0,0,0,10,10,0.1409,477.5,3.39,2,90.6
47,2025-11-19_09-17-50_12345555_101_101_wallpad_427395813_장태창까지_얼마나_걸려.wav,장태산까지 얼마나 걸려?,장태산까지 얼마나 걸려,0.0,0.0,1,1,0,0,0,0,10,10,0.0796,238.8,3.0,1,85.5
56,2025-11-19_09-19-04_12345555_101_101_wallpad_427469813_가스밸브_잠갔나.wav,가스밸브 잠궜나?,가스 밸브 잠궜나,0.0,0.0,1,1,0,0,0,0,7,7,0.0802,233.3,2.91,1,85.5
57,2025-11-19_09-19-12_12345555_101_101_wallpad_427477813_가스밸브_열려_있어.wav,가스밸브 열려있어?,가스 밸브 열려 있어,0.0,0.0,1,1,0,0,0,0,8,8,0.154,468.3,3.04,2,91.4
58,2025-11-19_09-19-20_12345555_101_101_wallpad_427485813_문_닫아줘.wav,응 닫아줘,응 닫아 줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0881,233.3,2.65,1,86.8
59,2025-11-19_09-19-28_12345555_101_101_wallpad_427492813_가스밸브_닫아줘.wav,가스밸브 닫아줘,가스 밸브 닫아 줘,0.0,0.0,1,1,0,0,0,0,7,7,0.0826,237.1,2.87,1,82.9
61,2025-11-19_09-19-43_12345555_101_101_wallpad_427508813_가스밸브_오분_후에_닫아줘.wav,가스밸브 오분 후에 닫아줘,가스 밸브 오 분 후에 닫아 줘,0.0,0.0,1,1,0,0,0,0,11,11,0.1329,466.5,3.51,2,87.1
65,2025-11-19_09-20-17_12345555_101_101_wallpad_427541813_지금_엘리베터몇_층이야.wav,지금 엘리베이터 몇층이야?,지금 엘리베이터 몇 층이야,0.0,0.0,1,1,0,0,0,0,11,11,0.1528,473.8,3.1,2,87.8
66,2025-11-19_09-20-29_12345555_101_101_wallpad_427553813_엘들_빨리_불러줘.wav,엘베 빨리 불러줘,엘베 빨리 불러 줘,0.0,0.0,1,1,0,0,0,0,7,7,0.0806,236.9,2.94,1,84.2
67,2025-11-19_09-20-38_12345555_101_101_wallpad_427562813_엘리베이터_호출해줘.wav,엘리베이터 호출해줘,엘리베이터 호출해 줘,0.0,0.0,1,1,0,0,0,0,9,9,0.1523,472.2,3.1,2,89.9
68,2025-11-19_09-20-47_12345555_101_101_wallpad_427571813_문_열어줘.wav,문 열어줘,문 열어 줘,0.0,0.0,1,1,0,0,0,0,4,4,0.0925,235.8,2.55,1,86.8
73,2025-11-19_09-21-29_12345555_101_101_wallpad_427613813_빨리_도와줘.wav,빨리 도와줘,빨리 도와줘,0.0,0.0,1,1,0,0,0,0,5,5,0.0926,233.4,2.52,1,88.2
75,2025-11-19_09-21-43_12345555_101_101_wallpad_427628813_응급_상황이야.wav,응급상황이야,응급 상황이야,0.0,0.0,1,1,0,0,0,0,6,6,0.0882,237.3,2.69,1,90.8
76,2025-11-19_09-21-51_12345555_101_101_wallpad_427635813_긴급한_상황이야.wav,긴급한 상황이야,긴급한 상황이야,0.0,0.0,1,1,0,0,0,0,7,7,0.0853,237.1,2.78,1,89.5
78,2025-11-19_09-22-05_12345555_101_101_wallpad_427649813_도와줄세요_고.wav,도와주세요,도와주세요,0.0,0.0,1,1,0,0,0,0,5,5,0.0904,236.8,2.62,1,89.5
