id,wav,duration,chunks,gt,npu,blank_ratio,gt_len,npu_len,edit_dist,cer
0,ko_test_0000.wav,10.5,4,몬터규는 자녀들이 사랑을 제대로 못 받고 크면 매우 심각한 결과가 초래된다는 결론을 내렸습니다,못⁇⁇는⁇요⁇⁇ 이 이 하랑은은 제대로 못 봤 그냥 외우 심각 한⁇과가⁇리를에⁇ 된다는다는⁇은 내겠습니다.,85.3,40,37,22,55.0
1,ko_test_0001.wav,20.5,8,차 문이 종잇장처럼 얇지 않으니 문 두께 스물 센티미터를 빼면 실제 승 하차 여유 공간은 스물 센티미터라는 계산이 나옵니다,참처럼⁇지⁇? 이 좋 문  개 수게드리 그를 비실 게 에 진짜 여유우⁇ 그냥냐? 스물 살집 뭐 들어 아 얘기⁇ 나.⁇ 또 말씀 그래 아니 이 근데 응. 계속 지금. 이제 녹음 내가 여행.냐하면,88.2,50,65,62,124.0
2,ko_test_0002.wav,8.5,4,지난해 이들 크루즈관광객의 평균 체류기간은 오 쩜 구 사 시간,⁇⁇에 이들⁇루즈 관광가⁇에 편⁇균 체류 기간가⁇ 좀 구⁇ 시간간 아,90.2,25,22,13,52.0
3,ko_test_0003.wav,16.6,7,그리고 이 나무는 태즈메이니아 남부 지역에 부는 남극의 바람을 맞으면서도 또한 해안에 위치한 산간 지방의 안개가 많은 환경에서도 무성하게 자랍니다,⁇ 이 나는 테 이제 에인⁇. 나지 지역역에⁇는 남 의 바⁇을 맞지으면서서 너 또 하 해⁇ 아니 위치 그냥⁇ 상관간 지방 의 안 게가 아 환경 경기 이서 또 우성⁇ 계⁇ 합 아 아,87.0,62,58,40,64.52
4,ko_test_0004.wav,8.2,4,평소 오전 아홉 시 에서 오후 일곱 시까지 일하면 하루 이 만원 정도를 번다,평 오전. 아홉 시에서 오⁇ 일곱 시⁇지? 일하면면 하 이만 원 정도 노을⁇ 다 아,90.2,29,28,9,31.03
5,ko_test_0005.wav,13.5,6,박준영 돈 안 되는 공익사건 남들 다 박수쳐주는 사건은 제가 하고 당신네들은 사무실 운영해야 되니까 돈 버는 사건 당신네들이 해라,아준 형 돈 안 되는 공익⁇ 사⁇ 남들 다 박수쳐 주는⁇ 거는는 제 하고⁇신들은 응⁇실 운영⁇ 되니까⁇ 번 사건⁇⁇신들이 그라 아,88.5,53,43,20,37.74
6,ko_test_0006.wav,8.9,4,야권은 여당에서 분명한 입장을 표해야 한다고 연일 압박 수위를 높이고 있다,⁇ 거는는 여⁇에서⁇ 아 입 입장은⁇에 ⁇⁇ 한다고 연회 아박수 위을 높 비고 있다 아,89.1,31,28,16,51.61
7,ko_test_0007.wav,11.6,5,독일을 보호하기 위하여 회스는 약 이백 만 명의 인명을 앗아 가는 일을 지휘하였는데 그중 대부분이 유대인이었습니다,⁇기를⁇ 보호⁇ 이 위하 여S스는는 약 이백⁇ 만 명에 인⁇ 명을⁇사⁇는 일을  주히의⁇⁇ 되는데 그중 대부분? 유 대인인이이었습니다 아,86.0,48,48,19,39.58
8,ko_test_0008.wav,9.2,4,젠슨 황은 엔비디아에서 매출의 삼십 퍼센트 이상을 연구개발에 투자한다,제⁇⁇ 상황학은 V디이야하 그래서 매출⁇ 삼 십⁇들⁇상을은 연고 계발에⁇⁇ 안 다 아 응,86.8,30,30,22,73.33
9,ko_test_0009.wav,14.6,6,이번에 발견된 화석은 에우노토사우르스처럼 등딱지 배딱지가 없지만 등뼈 가슴뼈 등 골격구조는 오돈토켈리스를 닮았다,⁇번에 발견⁇ 하석은 에 어 투⁇울를 처럼 그런 등⁇지  배⁇⁇지가 없지만 등⁇ 가⁇ ⁇은. 골격 구전는은 오⁇ 또  ⁇리스를 에 맞다,85.7,50,41,25,50.0
10,ko_test_0010.wav,8.5,4,몽둥이와 함께 변 씨의 가게에선 쇠 파이프와 곡괭이 자루까지 발견됐습니다,목둥 이 막 함 게  변시에에 이 가게 예 사 세⁇이프와 곡⁇ 이⁇로⁇⁇⁇ 됐습니다 아,88.3,31,27,19,61.29
11,ko_test_0011.wav,10.4,4,하지만 싫증 나면 버리면 그만이라는 식의 사고방식은 단지 물건에만 영향을 미치는 데서 그치지 않습니다,⁇지만 실지 나⁇이면면 그만이라⁇는 식⁇고 방식은⁇지. 물건 말 영향은 미치는 돼서 그지지. 같습니다. 응,83.4,43,38,16,37.21
12,ko_test_0012.wav,16.3,7,업계 관계자는 가격이 오르면 지상파 삼 사는 연간 천 이백 억원 추가 수익을 올린다면서 그 부담은 이용자에게 고스란히 넘어갈 수밖에 없다고 토로했다,어끼리 관계기 자인 가격이 여기 오르면면 지 삼 봐 삼 사는 연가 천 이백 오 원⁇가 수익을 울린다면서 그 그 사람은은 유⁇에 코수⁇인 어갈  수밖에 게 없다고?⁇로에 했다 아,87.2,61,65,30,49.18
13,ko_test_0013.wav,14.6,6,지난달 사 일 고서점가인 도쿄의 간다진보 정 한국 서적 전문 북카페 책거리에서는 미생의 일본 팬들이 모임을 가졌다,지는들 그 일 고⁇ 서⁇ 가인⁇ 교회에 간다 짐 뭐⁇ 한국 서전 전문⁇가 패에 생 거리에서에서는 미 생 이이⁇번⁇들이리 모임임을 아 근데 그,87.2,47,49,27,57.45
14,ko_test_0014.wav,11.0,5,경기 성남중원은 새누리당에서 십 칠 십 팔 대 국회의원을 지낸 신상진 당협위원장이 후보로 꼽힌다,⁇⁇⁇. 중언 세⁇리⁇⁇ 십 칠 십⁇ 때 그게 계 유원을을 지는. 신⁇지⁇⁇ 유원 장이? 후으로 꼭⁇⁇ 아,87.8,40,29,28,70.0
15,ko_test_0015.wav,11.9,5,이날 박창진 사무장은 내 지인으로부터 메신저 연락이 왔는데 나에 대한 찌라시가 돌고 있다고 한다고 전했다,이⁇ 막 참진인⁇ 아은 내 진으로부터 매 진 적 많 봤는데 나이 대한 찌⁇ 수가 돌고 있다 한다고 전⁇ 응,89.3,44,36,21,47.73
16,ko_test_0016.wav,11.7,5,국내 경기가 여전히 침체된 상태에서 금리마저 올라가면 경기 회복 국면에 찬물을 끼얹을 수도 있다는 진단이다,국내 내 경기가⁇전이 침 제든 사트에에 싸.⁇리⁇ 올라가 몰라 올라가라 가면면⁇⁇복 공는⁇⁇을을기한질 수도⁇ 진⁇ 그 응,86.9,45,42,32,71.11
17,ko_test_0017.wav,10.6,5,애플 입장에선 이천 십 이 년 맥북 프로 레티나 버전 이후 처음으로 맥북 디자인을 확 바꿨다,에⁇⁇⁇상 이 한 십 이⁇ 내  앞으로 레티⁇⁇전. 이⁇음으로 맥북 이제자 이 인 확 딱 어,89.9,36,27,21,58.33
18,ko_test_0018.wav,11.8,5,임화섭 특파원 미국 내브래스카주 오마하의 동물원에 만취한 여성이 몰래 들어갔다가 호랑이에 물렸다,이 말⁇ ⁇ 미국 응 내 그레스타 주 오 아⁇ 에⁇물⁇에 많지만⁇  여성이이 올레 들어가 갔다가다가⁇랑니에 몰렸⁇ 응,87.5,42,39,27,64.29
19,ko_test_0019.wav,10.5,5,지금은 대통령한테 줄을 대서 당선을 해보겠다 이런 이미지를 주는 경향이 없지 않다고 생각합니다,지금은 대통영한테 줄 을 대해서⁇⁇을 해 보⁇⁇한 이미미⁇ 주는⁇향이이 없 없지⁇다고 생각합니다 아.,90.2,40,36,15,37.5
