id,wav,duration,chunks,infer_ms,gt,npu,blank_ratio,gt_len,npu_len,edit_dist,cer
0,ko_test_0000.wav,10.45,4,932.8,몬터규는 자녀들이 사랑을 제대로 못 받고 크면 매우 심각한 결과가 초래된다는 결론을 내렸습니다,모토규은 자녀들이 사랑을 제대로 못 받고크면 매우 심각한 결과가 초래된다는 결론을 내렸습니다,83.0,40,40,3,7.5
1,ko_test_0001.wav,20.45,8,1865.8,차 문이 종잇장처럼 얇지 않으니 문 두께 스물 센티미터를 빼면 실제 승 하차 여유 공간은 스물 센티미터라는 계산이 나옵니다,처럼 낮지 않으니 두 문 두 두께 스물 센티미터를 빼면 실제 승차 여유 공간에 스물 센티미터  계산이 나옵니다 아 또 말씀하셔 아직 익숙치 네 계속 지금 녹음 되고 있는 거요 조용냐하면,83.6,50,72,42,84.0
2,ko_test_0002.wav,8.54,4,933.0,지난해 이들 크루즈관광객의 평균 체류기간은 오 쩜 구 사 시간,지난해 이들 크루즈 관광 객의 평균 체류 기간은 오 구 점 구사 시간 으,86.0,25,27,3,12.0
3,ko_test_0003.wav,16.64,7,1630.3,그리고 이 나무는 태즈메이니아 남부 지역에 부는 남극의 바람을 맞으면서도 또한 해안에 위치한 산간 지방의 안개가 많은 환경에서도 무성하게 자랍니다,그리고 이 나무는 태 즈메인니아 남부 지역에 분 는 남극의 바람을 맞 으면서도 또한 해안에 위치 지안 상관 지방의 안개가 많은 자 환경에서도 무성하게 자랍니다 음,85.9,62,65,8,12.9
4,ko_test_0004.wav,8.16,4,934.0,평소 오전 아홉 시 에서 오후 일곱 시까지 일하면 하루 이 만원 정도를 번다,평소 오전 아홉 시에서 오후 일곱 시까지 일하면 하루 이만 원 정도를 번다 에,89.1,29,30,1,3.45
5,ko_test_0005.wav,13.55,6,1403.6,박준영 돈 안 되는 공익사건 남들 다 박수쳐주는 사건은 제가 하고 당신네들은 사무실 운영해야 되니까 돈 버는 사건 당신네들이 해라,박준영 도 안 되는 공 공익 사건 남들 다 박수 쳐주는 사건은 제가 하고 당신네들은 사무실 운영해야 되깐 돈 버 사건 당신네들이 해라 음,85.2,53,53,6,11.32
6,ko_test_0006.wav,8.93,4,932.8,야권은 여당에서 분명한 입장을 표해야 한다고 연일 압박 수위를 높이고 있다,야권은 여당에서 분명 한 입장을 표해야 한다고 연일 압박 수위를 높이고 있다 음,85.3,31,32,1,3.23
7,ko_test_0007.wav,11.56,5,1176.5,독일을 보호하기 위하여 회스는 약 이백 만 명의 인명을 앗아 가는 일을 지휘하였는데 그중 대부분이 유대인이었습니다,독일을 보호하기 위하 횟스는 약 이백만 명의 인 명을 앗아가는 이을 주의하였는데 그중 대부분이 유대인이었습니다 음,82.6,48,48,6,12.5
8,ko_test_0008.wav,9.22,4,935.4,젠슨 황은 엔비디아에서 매출의 삼십 퍼센트 이상을 연구개발에 투자한다,젠슨 황은 엠디 지하에서 매출의 삼십 퍼센트 이상을 연구 개발에 투자한다 음,85.7,30,31,5,16.67
9,ko_test_0009.wav,14.59,6,1401.0,이번에 발견된 화석은 에우노토사우르스처럼 등딱지 배딱지가 없지만 등뼈 가슴뼈 등 골격구조는 오돈토켈리스를 닮았다,이번에 발견된 화석은 에운 노토 사우루스처 그럼 등딱지 배딱지가 없지만 등뼈 가슴뼈 등 골격 구조는 오돈토 칼리스를 닮 닮았다,82.9,50,52,5,10.0
10,ko_test_0010.wav,8.51,4,934.0,몽둥이와 함께 변 씨의 가게에선 쇠 파이프와 곡괭이 자루까지 발견됐습니다,멍둥이와 함께 변씨에의 가게에선 쇠파이프와 곡괭이 이 자루까지 발견됐습니다응,84.5,31,34,4,12.9
11,ko_test_0011.wav,10.37,4,933.4,하지만 싫증 나면 버리면 그만이라는 식의 사고방식은 단지 물건에만 영향을 미치는 데서 그치지 않습니다,하지만싫증 나면 버리면 그만이라는 식의 사고방식은 단지 물건에만 영향을 미치는 데서 그치지 않습니다,81.1,43,43,0,0.0
12,ko_test_0012.wav,16.31,7,1633.5,업계 관계자는 가격이 오르면 지상파 삼 사는 연간 천 이백 억원 추가 수익을 올린다면서 그 부담은 이용자에게 고스란히 넘어갈 수밖에 없다고 토로했다,업계 관계자는 가격 가격이 오르면 지상파 삼 사는 연간 천 이백억 원 추가 수익을 올린다면서 그 부 부담은 이용자에게 고스란히 넘 넘어갈 수밖에 없다고 토로했다 음,83.5,61,66,5,8.2
13,ko_test_0013.wav,14.57,6,1401.5,지난달 사 일 고서점가인 도쿄의 간다진보 정 한국 서적 전문 북카페 책거리에서는 미생의 일본 팬들이 모임을 가졌다,지난달 사 일 고 도서정가인 도쿄에 간다 진 모정 한국서점 전문  북카페 책거리에서는 미 생의 일본 팬들이 모임을 가  가졌다,84.4,47,49,6,12.77
14,ko_test_0014.wav,10.96,5,1166.0,경기 성남중원은 새누리당에서 십 칠 십 팔 대 국회의원을 지낸 신상진 당협위원장이 후보로 꼽힌다,경기 성남 중원은 새 새누리당에서 십 칠 팔 대 국회 위원을 지낸 신상진 당협 위원장이 후보로 뽑힌다 응,85.1,40,41,5,12.5
15,ko_test_0015.wav,11.9,5,1165.7,이날 박창진 사무장은 내 지인으로부터 메신저 연락이 왔는데 나에 대한 찌라시가 돌고 있다고 한다고 전했다,이날 박창진 사무장장은 내 지인으로부터 메신 진저 연락이 왔는데 나에 대한  찌라시가 돌고 있다고 한다고 전 따 음,84.1,44,46,4,9.09
16,ko_test_0016.wav,11.74,5,1166.1,국내 경기가 여전히 침체된 상태에서 금리마저 올라가면 경기 회복 국면에 찬물을 끼얹을 수도 있다는 진단이다,국내 경기가 여전히 침 침체된 상태에서 금리마저 올 올라가면 경기 회복 국면에 찬 찬물을 끼얹을 수도 있다는 진단이 야 음,80.8,45,49,5,11.11
17,ko_test_0017.wav,10.65,5,1166.3,애플 입장에선 이천 십 이 년 맥북 프로 레티나 버전 이후 처음으로 맥북 디자인을 확 바꿨다,애플 입장에선 이천 십이 년 맥북 프로레티나 버전 이후 처음으로 맥북 디 디자인을 확 바꿔다 에래,84.1,36,39,4,11.11
18,ko_test_0018.wav,11.82,5,1166.5,임화섭 특파원 미국 내브래스카주 오마하의 동물원에 만취한 여성이 몰래 들어갔다가 호랑이에 물렸다,이만섭 특파원 미국 내브의 스카즈 오마하의 의 동물원에 만취한 여성이 몰 몰레 들어갔다가 호랑이에 물렸 나,82.9,42,44,8,19.05
19,ko_test_0019.wav,10.54,5,1167.7,지금은 대통령한테 줄을 대서 당선을 해보겠다 이런 이미지를 주는 경향이 없지 않다고 생각합니다,지금은 대통령한테 줄 를 대서 당선을 해보겠다 이런 이미지를 주는 경향이 없지 않다고 생각합니다에,88.4,40,41,2,5.0
20,ko_test_0020.wav,11.5,5,1166.2,십 이 일 경주에서 발생한 지진으로 포항시 남구의 한 마트 진열장에 쌓여 있던 상품들이 바닥에 떨어져 있다,십 이 일격수에서 발 발생한 지진으로 포항시 남 인구의 한 마트 진열장에 쌓여 던 상품들이 바닥에 떨어져 있다 음,84.8,43,45,6,13.95
