id,wav,gt,npu,duration,chunks,infer_ms,cer,gt_len,npu_len,blank_ratio,edit_dist
8,7F_HJY/2025-11-19_09-09-14_12345555_101_101_wallpad_426878813_됐어.wav,됐어,됐어,2.4,1,233.2,0.0,2,2,94.7,0
10,7F_HJY/2025-11-19_09-09-30_12345555_101_101_wallpad_426895813_응_말해줘.wav,응 말해줘,응 말해줘,2.81,1,233.0,0.0,4,4,93.4,0
12,7F_HJY/2025-11-19_09-09-45_12345555_101_101_wallpad_426909813_만화를_틀려도_돼.wav,안 알려줘도 돼,안 알려줘도 돼,2.56,1,233.9,0.0,6,6,90.8,0
13,7F_HJY/2025-11-19_09-09-52_12345555_101_101_wallpad_426917813_괜찮아.wav,괜찮아,괜찮아,2.3,1,233.3,0.0,3,3,93.4,0
28,7F_HJY/2025-11-19_09-12-58_12345555_101_101_wallpad_427102813_달러_환율_알려줘.wav,달러 환율 알려줘,달러 환율 알려 줘,2.88,1,233.2,0.0,7,7,84.2,0
29,7F_HJY/2025-11-19_09-13-05_12345555_101_101_wallpad_427110813_엔비디아_주가_올랐어.wav,엔비디아 주가 올랐어?,엔비디아 주가 올랐어,3.07,2,467.0,0.0,9,9,91.4,0
35,7F_HJY/2025-11-19_09-13-58_12345555_101_101_wallpad_427162813_오후_네시에_출발하면_얼마나_걸려.wav,오후 열시에 출발하면 얼마나 걸려?,오후 열 시에 출발하면 얼마나 걸려,3.77,2,467.5,0.0,14,14,86.3,0
59,7F_HJY/2025-11-19_09-19-28_12345555_101_101_wallpad_427492813_가스밸브_닫아줘.wav,가스밸브 닫아줘,가스 밸브 닫아 줘,2.87,1,233.4,0.0,7,7,84.2,0
65,7F_HJY/2025-11-19_09-20-17_12345555_101_101_wallpad_427541813_지금_엘리베터몇_층이야.wav,지금 엘리베이터 몇층이야?,지금 엘리베이터 몇 층이야,3.1,2,468.1,0.0,11,11,87.1,0
68,7F_HJY/2025-11-19_09-20-47_12345555_101_101_wallpad_427571813_문_열어줘.wav,문 열어줘,문 열어 줘,2.55,1,233.1,0.0,4,4,86.8,0
73,7F_HJY/2025-11-19_09-21-29_12345555_101_101_wallpad_427613813_빨리_도와줘.wav,빨리 도와줘,빨리 도와줘,2.52,1,233.7,0.0,5,5,88.2,0
75,7F_HJY/2025-11-19_09-21-43_12345555_101_101_wallpad_427628813_응급_상황이야.wav,응급상황이야,응급 상황이야,2.69,1,233.6,0.0,6,6,90.8,0
76,7F_HJY/2025-11-19_09-21-51_12345555_101_101_wallpad_427635813_긴급한_상황이야.wav,긴급한 상황이야,긴급한 상황이야,2.78,1,233.2,0.0,7,7,89.5,0
78,7F_HJY/2025-11-19_09-22-05_12345555_101_101_wallpad_427649813_도와줄세요_고.wav,도와주세요,도와주세요,2.62,1,232.9,0.0,5,5,90.8,0
81,7F_HJY/2025-11-19_09-22-34_12345555_101_101_wallpad_427678813_지난달_소업세_얼마였지.wav,지난달 수도세 얼마였지?,지난달 수도세 얼마였지,3.32,2,466.1,0.0,10,10,91.4,0
84,7F_HJY/2025-11-19_09-23-01_12345555_101_101_wallpad_427705813_이십삼년_십일월_가스_사용량_알려줘.wav,이십삼년 십일월 가스 사용량 알려줘,이십삼년 십일월 가스 사용량 알려줘,4.06,2,466.4,0.0,15,15,89.2,0
89,7F_HJY/2025-11-19_09-23-43_12345555_101_101_wallpad_427747813_소리_좀_줄여줘.wav,소리 좀 줄여줘,소리 좀 줄여 줘,2.78,1,233.3,0.0,6,6,88.2,0
91,7F_HJY/2025-11-19_09-23-58_12345555_101_101_wallpad_427762813_소리_좀_더_크게_해줘.wav,소리 좀 더 크게해줘,소리  좀 더 크게 해 줘,2.94,1,233.3,0.0,8,8,82.9,0
94,7F_HJY/2025-11-19_09-24-21_12345555_101_101_wallpad_427786813_한_단계_더_낮춰줘.wav,한단계 더 낮춰줘,한 단계 더 낮춰 줘,2.94,1,234.0,0.0,7,7,84.2,0
95,7F_HJY/2025-11-19_09-24-28_12345555_101_101_wallpad_427793813_좀만_더_낮춰줘.wav,좀만 더 낮춰줘,좀만 더 낮춰 줘,2.81,1,233.1,0.0,6,6,89.5,0
96,7F_HJY/2025-11-19_09-24-36_12345555_101_101_wallpad_427800813_화면이_너무_밝아.wav,화면이 너무 밝아,화면이 너무 밝아,2.78,1,233.9,0.0,7,7,86.8,0
97,7F_HJY/2025-11-19_09-24-44_12345555_101_101_wallpad_427808813_화면이_너무_어두워.wav,화면이 너무 어두워,화면이 너무 어두워,2.87,1,233.2,0.0,8,8,88.2,0
98,7F_HJY/2025-11-19_09-24-52_12345555_101_101_wallpad_427816813_화면_더_밝이_해줘.wav,화면 더 밝게 해줘,화면 더 밝게 해 줘,2.9,1,233.3,0.0,7,7,84.2,0
100,7F_HJY/2025-11-19_09-25-07_12345555_101_101_wallpad_427832813_화면_제일_밝게_해줘.wav,화면 제일 밝게 해줘,화면 제일 밝게 해 줘,2.98,1,233.2,0.0,8,8,81.6,0
101,7F_HJY/2025-11-19_09-25-15_12345555_101_101_wallpad_427839813_화면_제일_어둡게_해줘.wav,화면 제일 어둡게 해줘,화면 제일 어둡게 해 줘,2.97,1,233.8,0.0,9,9,82.9,0
102,7F_HJY/2025-11-19_09-25-22_12345555_101_101_wallpad_427847813_알림음_꺼줘.wav,알림음 꺼줘,알림음 꺼 줘,2.75,1,233.4,0.0,5,5,89.5,0
115,7F_KSK/12345555_101_101_wallpad_346099813_2025-11-18_10:42:55_알려줘.wav,알려줘,알려 줘,2.4,1,233.1,0.0,3,3,94.7,0
116,7F_KSK/12345555_101_101_wallpad_346106813_2025-11-18_10:43:01_됐어.wav,됐어,됐어,1.45,1,233.3,0.0,2,2,94.7,0
118,7F_KSK/12345555_101_101_wallpad_346119813_2025-11-18_10:43:14_응_말해줘.wav,응 말해줘,응 말해줘,0.96,1,233.8,0.0,4,4,92.1,0
121,7F_KSK/12345555_101_101_wallpad_346139813_2025-11-18_10:43:34_괜찮아.wav,괜찮아,괜찮아,2.18,1,234.1,0.0,3,3,93.4,0
134,7F_KSK/12345555_101_101_wallpad_346265813_2025-11-18_10:45:40_오늘_경제_뉴스_알려줘.wav,오늘 경제뉴스 알려줘,오늘 경제 뉴스 알려 줘,2.54,1,233.1,0.0,9,9,86.8,0
140,7F_KSK/12345555_101_101_wallpad_346313813_2025-11-18_10:46:29_어제_한국대_브라질_축구_어떻게_됐어.wav,어제 한국 대 브라질 축구 어떻게 됐어?,어제 한국 대 브라질 축구 어떻게 됐어,2.78,1,232.8,0.0,15,15,77.6,0
152,7F_KSK/12345555_101_101_wallpad_346411813_2025-11-18_10:48:07_대전_카페거리까지_가장_빠른_길_알려줘.wav,대전 카페거리까지 가장 빠른길 알려줘,대전 카페거리까지 가장 빠른 길 알려 줘,2.64,1,233.9,0.0,16,16,73.7,0
154,7F_KSK/12345555_101_101_wallpad_346438813_2025-11-18_10:48:34_대전_벽화마을를_가는데_얼마나_걸리지.wav,대전 벽화마을 가는데 얼마나 걸리지?,대전 벽화마을 가는데 얼마나 걸리지,2.37,1,233.2,0.0,15,15,76.3,0
156,7F_KSK/12345555_101_101_wallpad_346456813_2025-11-18_10:48:51_대전_엑스포_아쿠아리움_가는_길_알려줘.wav,대전 엑스포 아쿠아리움 가는길 알려줘,대전 엑스포 아쿠아리움 가는 길 알려 줘,2.96,1,234.0,0.0,16,16,71.1,0
162,7F_KSK/12345555_101_101_wallpad_346525813_2025-11-18_10:50:01_가스밸브_현제_열려_있어.wav,가스밸브 현재 열려있어?,가스 밸브 현재 열려 있어,2.77,1,233.1,0.0,10,10,80.3,0
170,7F_KSK/12345555_101_101_wallpad_346581813_2025-11-18_10:50:57_가스밸브_한시간_뒤에_닫아줘.wav,가스밸브 한시간 뒤에 닫아줘,가스 밸브 한 시간 뒤에 닫아 줘,2.97,1,233.1,0.0,12,12,73.7,0
177,7F_KSK/12345555_101_101_wallpad_346633813_2025-11-18_10:51:49_열어.wav,열어,열어,1.53,1,233.0,0.0,2,2,96.1,0
186,7F_KSK/12345555_101_101_wallpad_346690813_2025-11-18_10:52:46_도와주세요.wav,도와주세요,도와주세요,2.35,1,233.9,0.0,5,5,90.8,0
