id,dataset,idx,ref,ptq_vpmrun_hyp,ptq_app_hyp,ptq_match,qat_vpmrun_hyp,qat_app_hyp,qat_match,ptq_cer,qat_cer
0,7F_KSK,0,관리사무소 전화번호가 어떻게 되지?,관리사무소 전화번호가 어떻게 되지 어,관리사무소 전화번호가 어떻게 되지 어,✓,관리사무소 전화번호가 어떻게 되지,관리사무소 전화번호가 어떻게 되지,✓,6.7,0.0
1,7F_KSK,2,관리사무소 전화번호 알려줘,관리사무소 전화번호 알려줘시 알돼요,관리사무소 전화번호 알려줘시 알돼요,✓,관리사무소 전화번호 알려줘,관리사무소 전화번호 알려줘,✓,33.3,0.0
2,7F_KSK,3,관리사무소 번호가 뭐지?,관리사무소 번호가 뭐지 보,관리사무소 번호가 뭐지 보,✓,관리사무소 번호가 뭐지 번호,관리사무소 번호가 뭐지 번호,✓,10.0,20.0
3,7F_KSK,4,관리사무소 번호 알려줘,관리사무소 번호 알려줘 거나요,관리사무소 번호 알려줘 거나요,✓,관리사무소 번호 알려줘,관리사무소 번호 알려줘,✓,30.0,0.0
4,7F_KSK,5,관리소 전화번호 알려줘,관리소 전화번호 알려줘따줘,관리소 전화번호 알려줘따줘,✓,관리소 전화번호 알려줘,관리소 전화번호 알려줘,✓,20.0,0.0
5,7F_KSK,6,관리소 전화번호 말해줘,관리소 전화번호 말해 줘 어 알어요,관리소 전화번호 말해 줘 어 알어요,✓,관리소 전화번호 말해 줘,관리소 전화번호 말해 줘,✓,40.0,0.0
6,7F_KSK,7,"뭔데?, 해줘",뭔데 해줘 내,뭔데 해줘 내,✓,뭔데 해줘,뭔데 해줘,✓,25.0,0.0
7,7F_KSK,8,알려줘,알려 줘,알려 줘,✓,알려 줘,알려 줘,✓,0.0,0.0
8,7F_KSK,9,됐어,됐어,됐어,✓,됐어,됐어,✓,0.0,0.0
9,7F_KSK,10,뭐지? 알려줘,뭐지 알려줘 어,뭐지 알려줘 어,✓,뭐지 알려줘,뭐지 알려줘,✓,20.0,0.0
10,7F_KSK,83,이십오년 십이월 전기세는 얼마 나왔어?,이십오년 십 이 월 정기세는 얼마 마 나왔어,이십오년 십 이 월 정기세는 얼마 마 나왔어,✓,이십오 년 십 이 월 전기세는 얼마 너마 나왔어,이십오 년 십 이 월 전기세는 얼마 너마 나왔어,✓,12.5,12.5
11,7F_KSK,47,대전 벽화마을 가는데 얼마나 걸리지?,대전 벽화마을 가는데 얼마나 걸리지,대전 벽화마을 가는데 얼마나 걸리지,✓,대전 벽화마을 가는 데 얼마나 걸리지,대전 벽화마을 가는 데 얼마나 걸리지,✓,0.0,0.0
12,7F_HJY,32,어제 한국 대 브라질 축구 어떻게 됐어?,어제 한국 대 브라질 축구 어떻게 됐 오,어제 한국 대 브라질 축구 어떻게 됐 오,✓,어제 한국 대 브라질 축구 어떻게 됐 음,어제 한국 대 브라질 축구 어떻게 됐 음,✓,6.7,6.7
13,7F_KSK,44,대전 중앙시장 가는데 얼마나 걸려?,대전중앙시장 가는데 얼마나 걸려얼,대전중앙시장 가는데 얼마나 걸려얼,✓,대전 중앙시장 가는 데 얼마나 걸려,대전 중앙시장 가는 데 얼마나 걸려,✓,7.1,0.0
14,7F_KSK,65,"나 지금 나갈게, 엘리베이터 불러줘",나 지금 나갈게 엘리베이터 불 몰라죠,나 지금 나갈게 엘리베이터 불 몰라죠,✓,나 지금 나갈게 엘리베이터 불  불러줘,나 지금 나갈게 엘리베이터 불  불러줘,✓,21.4,7.1
15,7F_HJY,36,여기서 미팅장소까지 얼마나 걸려?,여기서 미팅 장소까지 얼마나 걸려 음,여기서 미팅 장소까지 얼마나 걸려 음,✓,여기서 미팅 장소까지 얼마나 걸려 음,여기서 미팅 장소까지 얼마나 걸려 음,✓,7.1,7.1
16,7F_HJY,39,지금 집으로 출발하면 언제 도착해?,지금 집으로 출발하면 언제 도착해 음,지금 집으로 출발하면 언제 도착해 음,✓,지금 집으로 출발하면 언제 도착해 음,지금 집으로 출발하면 언제 도착해 음,✓,7.1,7.1
17,7F_HJY,43,대전 중앙시장 가는데 얼마나 걸려?,대전중앙시장 가는데 얼마나 걸려 음,대전중앙시장 가는데 얼마나 걸려 음,✓,대전 중앙시장 가는 데 얼마나 걸려 음,대전 중앙시장 가는 데 얼마나 걸려 음,✓,7.1,7.1
18,7F_HJY,63,"나 지금 외출해, 엘리베이터 불러줘",나 지금 외출해 엘리베이터 불러  음,나 지금 외출해 엘리베이터 불러  음,✓,나 지금 외출해 엘리베이터 불러  음,나 지금 외출해 엘리베이터 불러  음,✓,7.1,7.1
19,7F_HJY,64,"나 지금 나갈게, 엘리베이터 불러줘",나 지금 나갈게 엘리베이터 불러죠 음,나 지금 나갈게 엘리베이터 불러죠 음,✓,나 지금 나갈게 엘리베이터 불러 음,나 지금 나갈게 엘리베이터 불러 음,✓,14.3,7.1
20,7F_KSK,19,칠월 오일 공지 알려줘,칠 월 오 일 공지 알려줬고,칠 월 오 일 공지 알려줬고,✓,칠 월 오 일 공지 알려줘대,칠 월 오 일 공지 알려줘대,✓,22.2,11.1
21,7F_KSK,93,소리 조금만 작게해줘,소리 조금만 작게 해 줘혹돼,소리 조금만 작게 해 줘혹돼,✓,소리 조금만 작게 해 줘 해 줘,소리 조금만 작게 해 줘 해 줘,✓,22.2,22.2
22,7F_HJY,33,양자 세션 브리핑 해줘,양자 세 시간 브리핑해 줘  음,양자 세 시간 브리핑해 줘  음,✓,양자  세이간 브리핑해 줘,양자  세이간 브리핑해 줘,✓,33.3,22.2
23,7F_KSK,59,응 닫아줘,응 닫아 줘 오,응 닫아 줘 오,✓,은 닫아 줘,은 닫아 줘,✓,25.0,25.0
24,7F_HJY,48,대전 엑스포 아쿠아리움 가는길 알려줘,대전에스포 앞화하리 가는 길 알려 줘 음,대전에스포 앞화하리 가는 길 알려 줘 음,✓,대전 에스포 아쿠아리로 가는 길 알려 줘 음,대전 에스포 아쿠아리로 가는 길 알려 줘 음,✓,37.5,18.8
25,7F_HJY,68,문 열어줘,문 열어 줘,문 열어 줘,✓,문 열어 줘,문 열어 줘,✓,0.0,0.0
26,7F_HJY,71,문 열어줘,문 열어,문 열어,✓,문 열어,문 열어,✓,25.0,25.0
