id,wav,gt,npu,duration,chunks,infer_ms,cer,gt_len,npu_len,blank_ratio,edit_dist
2,7F_HJY/2025-11-19_09-08-25_12345555_101_101_wallpad_426830813_더이상무사_번호가_뭐지.wav,관리사무소 번호가 뭐지?,관리사무소번호가뭐지,3.0,1,104.2,0.0,10,10,73.7,0
3,7F_HJY/2025-11-19_09-08-33_12345555_101_101_wallpad_426838813_관리사호소_번호_알려줘.wav,관리사무소 번호 알려줘,관리사무소번호알려줘,3.0,1,104.1,0.0,10,10,73.7,0
4,7F_HJY/2025-11-19_09-08-42_12345555_101_101_wallpad_426846813_관리소_전화번호_알려줘.wav,관리소 전화번호 알려줘,관리소전화번호알려줘,3.0,1,103.9,0.0,10,10,73.7,0
5,7F_HJY/2025-11-19_09-08-50_12345555_101_101_wallpad_426854813_관리수_전화번호_말해줘.wav,관리소 전화번호 말해줘,관리소전화번호말해줘,3.0,1,104.1,0.0,10,10,73.7,0
8,7F_HJY/2025-11-19_09-09-14_12345555_101_101_wallpad_426878813_됐어.wav,됐어,됐어,3.0,1,104.0,0.0,2,2,89.5,0
9,7F_HJY/2025-11-19_09-09-22_12345555_101_101_wallpad_426887813_뭐지_알려줘.wav,뭐지? 알려줘,뭐지알려줘,3.0,1,104.0,0.0,5,5,86.8,0
11,7F_HJY/2025-11-19_09-09-38_12345555_101_101_wallpad_426902813_아니_괜찮아.wav,아니 괜찮아,아니 괜찮아,3.0,1,104.0,0.0,5,5,84.2,0
12,7F_HJY/2025-11-19_09-09-45_12345555_101_101_wallpad_426909813_만화를_틀려도_돼.wav,안 알려줘도 돼,안알려줘도 돼,3.0,1,104.0,0.0,6,6,81.6,0
13,7F_HJY/2025-11-19_09-09-52_12345555_101_101_wallpad_426917813_괜찮아.wav,괜찮아,괜찮아,3.0,1,103.9,0.0,3,3,89.5,0
14,7F_HJY/2025-11-19_09-10-01_12345555_101_101_wallpad_426926813_지나_공지사항_알려줘.wav,지난 공지사항 알려줘,지난공지사항알려줘,3.0,1,104.1,0.0,9,9,76.3,0
22,7F_HJY/2025-11-19_09-12-10_12345555_101_101_wallpad_427054813_오월_오일_공지가_뭐였지.wav,오월 오일 공지가 뭐였지?,오월오일공지가뭐였지,3.0,1,104.0,0.0,10,10,73.7,0
